Age of Death,Type
12.72267853,Lurcher
12.0054757,Lurcher
12.99931554,Lurcher
6.573465663,Lurcher
14.40657084,Lurcher
13.22370522,Lurcher
15.41946156,Lurcher
13.57962583,Lurcher
10.02315765,Lurcher
12.14784394,Lurcher
13.94649783,Lurcher
10.73499886,Lurcher
7.323636778,Lurcher
13.16632444,Lurcher
15.26899384,Lurcher
5.396303901,Lurcher
12.82397901,Lurcher
7.079968058,Lurcher
10.59000684,Lurcher
11.2936345,Lurcher
11.96976956,Lurcher
13.06490988,Lurcher
8.988250057,Lurcher
10.04506046,Lurcher
12.00262377,Lurcher
10.37634041,Lurcher
11.79192334,Lurcher
12.25998175,Lurcher
13.08122291,Lurcher
14.06970112,Lurcher
16.0,Lurcher
9.472963723,Lurcher
11.86184862,Lurcher
13.19358887,Lurcher
14.09707963,Lurcher
15.2168606,Lurcher
15.27435546,Lurcher
17.02121834,Lurcher
0.145106092,Lurcher
8.429842574,Lurcher
9.275838467,Lurcher
11.33458818,Lurcher
11.6659822,Lurcher
11.99988592,Lurcher
12.04642939,Lurcher
12.07654574,Lurcher
12.41056354,Lurcher
13.13883185,Lurcher
13.33880903,Lurcher
13.62902122,Lurcher
13.80686744,Lurcher
13.97661419,Lurcher
14.0039927,Lurcher
14.24766142,Lurcher
14.53524983,Lurcher
15.1430527,Lurcher
15.49885923,Lurcher
15.50433493,Lurcher
16.05201916,Lurcher
17.29774127,Lurcher
17.99863107,Lurcher
6.291467032,Lurcher
11.75085558,Lurcher
12.99646361,Lurcher
13.00193931,Lurcher
8.314738763,Lurcher
13.11156742,Lurcher
14.50228154,Lurcher
15.88227242,Lurcher
16.04916724,Lurcher
17.48665298,Lurcher
10.16826375,Lurcher
12.13141684,Lurcher
12.25735797,Lurcher
4.613164499,Lurcher
5.026579968,Lurcher
5.281200091,Lurcher
5.544147844,Lurcher
6.001254848,Lurcher
8.676249144,Lurcher
9.100501939,Lurcher
9.240246407,Lurcher
9.965776865,Lurcher
10.80629706,Lurcher
11.83013917,Lurcher
12.04642939,Lurcher
12.15594342,Lurcher
12.21617614,Lurcher
12.40520192,Lurcher
12.44353183,Lurcher
12.84588182,Lurcher
13.11419119,Lurcher
13.23750856,Lurcher
13.33595711,Lurcher
13.59616701,Lurcher
13.86436231,Lurcher
14.03137121,Lurcher
14.39824321,Lurcher
14.78428017,Lurcher
14.92117271,Lurcher
15.00057039,Lurcher
15.27994524,Lurcher
15.69609856,Lurcher
15.70967374,Lurcher
15.99988592,Lurcher
16.66803559,Lurcher
17.84804928,Lurcher
9.012890714,Lurcher
14.35717545,Lurcher
8.66255989,Lurcher
10.0752909,Lurcher
13.77138946,Lurcher
13.19906457,Lurcher
13.00479124,Lurcher
14.47490303,Lurcher
14.91581109,Lurcher
16.24355464,Lurcher
11.00330824,Lurcher
10.14362309,Lurcher
6.305270363,Lurcher
13.34690851,Lurcher
11.60848734,Lurcher
11.6659822,Lurcher
12.30652521,Lurcher
12.9745608,Lurcher
14.44204883,Lurcher
14.63096053,Lurcher
10.00125485,Lurcher
10.49965777,Lurcher
12.84040611,Lurcher
11.21149897,Lurcher
12.13677846,Lurcher
12.09856263,Lurcher
12.92813142,Lurcher
10.03969884,Lurcher
11.29899612,Lurcher
12.65708419,Lurcher
9.272986539,Lurcher
13.09776409,Lurcher
13.67282683,Lurcher
14.5323979,Lurcher
14.58167922,Lurcher
10.63096053,Lurcher
12.40508784,Lurcher
10.29431896,Lurcher
6.622746977,Lurcher
12.13689254,Lurcher
11.9890486,Lurcher
9.226557153,Lurcher
10.74595026,Lurcher
12.6076888,Lurcher
13.41820671,Lurcher
9.607004335,Lurcher
9.522130961,Lurcher
6.283253479,Lurcher
8.301163587,Lurcher
13.4017796,Lurcher
13.88090349,Lurcher
14.0971937,Lurcher
14.34633812,Lurcher
8.722678531,Lurcher
9.639972621,Lurcher
11.00604609,Lurcher
14.68309377,Lurcher
1.431895962,Lurcher
0.197125257,Lurcher
9.459160392,Lurcher
10.00125485,Lurcher
12.02452658,Lurcher
12.19701118,Lurcher
12.46817248,Lurcher
14.31348392,Lurcher
15.02794889,Lurcher
16.0,Lurcher
16.0,Lurcher
10.49680584,Lurcher
14.16826375,Lurcher
11.20876112,Lurcher
3.474332649,Lurcher
8.813027607,Lurcher
10.28884326,Lurcher
12.24914442,Lurcher
12.28188455,Lurcher
13.94387406,Lurcher
16.24914442,Lurcher
11.75906913,Lurcher
14.37645448,Lurcher
12.6022131,Lurcher
10.89653206,Lurcher
14.22861054,Lurcher
11.72347707,Lurcher
12.41877709,Lurcher
15.00330824,Lurcher
3.192219941,Lurcher
3.222450376,Lurcher
9.757700205,Lurcher
11.227812,Lurcher
12.46532056,Lurcher
12.41877709,Lurcher
13.68913986,Lurcher
15.56468172,Lurcher
14.98140543,Lurcher
11.61111111,Lurcher
7.003422313,Lurcher
14.98961898,Lurcher
8.057494867,Lurcher
11.6659822,Lurcher
12.99931554,Lurcher
14.14647502,Lurcher
14.17385352,Lurcher
15.18400639,Lurcher
6.313483915,Lurcher
15.12103582,Lurcher
12.05475702,Lurcher
14.24492357,Lurcher
