Age of Death,Type
12.18058407,Minature Schnauzer
2.132785763,Minature Schnauzer
7.5727812,Minature Schnauzer
11.12377367,Minature Schnauzer
11.00045631,Minature Schnauzer
12.58578599,Minature Schnauzer
13.90269222,Minature Schnauzer
14.00673055,Minature Schnauzer
6.091718001,Minature Schnauzer
9.577002053,Minature Schnauzer
12.92254164,Minature Schnauzer
14.00125485,Minature Schnauzer
15.78097194,Minature Schnauzer
3.148414328,Minature Schnauzer
14.87200548,Minature Schnauzer
9.385238421,Minature Schnauzer
10.79534565,Minature Schnauzer
12.88147388,Minature Schnauzer
11.00057039,Minature Schnauzer
8.325690167,Minature Schnauzer
12.93623089,Minature Schnauzer
10.55441478,Minature Schnauzer
11.02806297,Minature Schnauzer
12.99931554,Minature Schnauzer
5.787816564,Minature Schnauzer
10.16837782,Minature Schnauzer
14.63369838,Minature Schnauzer
0.536618754,Minature Schnauzer
15.00068446,Minature Schnauzer
4.624115902,Minature Schnauzer
11.83572895,Minature Schnauzer
