Age of Death,Type
9.371549167,Miniature Schnauzer
9.645448323,Miniature Schnauzer
9.393451974,Miniature Schnauzer
11.12651152,Miniature Schnauzer
13.73305955,Miniature Schnauzer
1.182637463,Miniature Schnauzer
14.1874287,Miniature Schnauzer
15.06639288,Miniature Schnauzer
15.43315081,Miniature Schnauzer
12.457107,Miniature Schnauzer
13.27846224,Miniature Schnauzer
14.28610541,Miniature Schnauzer
13.64533425,Miniature Schnauzer
7.098205535,Miniature Schnauzer
14.65571526,Miniature Schnauzer
10.81439653,Miniature Schnauzer
14.22039699,Miniature Schnauzer
12.83766826,Miniature Schnauzer
12.99931554,Miniature Schnauzer
14.0149441,Miniature Schnauzer
17.2128679,Miniature Schnauzer
6.6091718,Miniature Schnauzer
9.919119325,Miniature Schnauzer
13.46748802,Miniature Schnauzer
13.94649783,Miniature Schnauzer
8.59137577,Miniature Schnauzer
8.613164499,Miniature Schnauzer
9.289413644,Miniature Schnauzer
10.13004791,Miniature Schnauzer
11.01973534,Miniature Schnauzer
11.23066393,Miniature Schnauzer
12.67887292,Miniature Schnauzer
12.94444444,Miniature Schnauzer
13.38343721,Miniature Schnauzer
14.25051335,Miniature Schnauzer
14.32979694,Miniature Schnauzer
9.932808579,Miniature Schnauzer
14.12993384,Miniature Schnauzer
8.101300479,Miniature Schnauzer
9.48380105,Miniature Schnauzer
9.552247319,Miniature Schnauzer
9.648072097,Miniature Schnauzer
10.72142368,Miniature Schnauzer
10.84725074,Miniature Schnauzer
13.01026694,Miniature Schnauzer
13.08407483,Miniature Schnauzer
0.257243897,Miniature Schnauzer
5.251083733,Miniature Schnauzer
5.921857175,Miniature Schnauzer
6.099931554,Miniature Schnauzer
6.729637235,Miniature Schnauzer
8.180584075,Miniature Schnauzer
8.813027607,Miniature Schnauzer
9.431781885,Miniature Schnauzer
9.908167922,Miniature Schnauzer
10.22849646,Miniature Schnauzer
11.04175222,Miniature Schnauzer
11.32363678,Miniature Schnauzer
11.60837326,Miniature Schnauzer
11.84656628,Miniature Schnauzer
12.52829112,Miniature Schnauzer
12.68720055,Miniature Schnauzer
13.26488706,Miniature Schnauzer
13.4974903,Miniature Schnauzer
13.6699749,Miniature Schnauzer
14.00125485,Miniature Schnauzer
14.25587497,Miniature Schnauzer
14.76785307,Miniature Schnauzer
15.51802418,Miniature Schnauzer
16.40246407,Miniature Schnauzer
10.12731006,Miniature Schnauzer
14.20933151,Miniature Schnauzer
1.59057723,Miniature Schnauzer
11.33196441,Miniature Schnauzer
13.4755875,Miniature Schnauzer
10.14636094,Miniature Schnauzer
13.50022815,Miniature Schnauzer
13.69461556,Miniature Schnauzer
14.36812685,Miniature Schnauzer
13.63164499,Miniature Schnauzer
7.509924709,Miniature Schnauzer
10.86379192,Miniature Schnauzer
11.4715948,Miniature Schnauzer
12.75838467,Miniature Schnauzer
6.546201232,Miniature Schnauzer
11.37303217,Miniature Schnauzer
14.22039699,Miniature Schnauzer
14.52418435,Miniature Schnauzer
11.53171344,Miniature Schnauzer
9.541409993,Miniature Schnauzer
12.67602099,Miniature Schnauzer
11.36481862,Miniature Schnauzer
7.728838695,Miniature Schnauzer
12.11213781,Miniature Schnauzer
13.35512206,Miniature Schnauzer
14.66392882,Miniature Schnauzer
16.81850331,Miniature Schnauzer
11.00330824,Miniature Schnauzer
10.22313484,Miniature Schnauzer
7.613963039,Miniature Schnauzer
12.3394935,Miniature Schnauzer
12.50091262,Miniature Schnauzer
14.97592973,Miniature Schnauzer
13.68366416,Miniature Schnauzer
9.412731006,Miniature Schnauzer
12.84040611,Miniature Schnauzer
11.93143965,Miniature Schnauzer
8.82397901,Miniature Schnauzer
16.68434862,Miniature Schnauzer
16.02726443,Miniature Schnauzer
8.624229979,Miniature Schnauzer
10.31884554,Miniature Schnauzer
10.3708647,Miniature Schnauzer
12.64054301,Miniature Schnauzer
13.87268994,Miniature Schnauzer
9.38250057,Miniature Schnauzer
12.19712526,Miniature Schnauzer
4.659707963,Miniature Schnauzer
16.24081679,Miniature Schnauzer
12.99967247,Miniature Schnauzer
9.177161761,Miniature Schnauzer
11.14567648,Miniature Schnauzer
13.79591604,Miniature Schnauzer
15.66586813,Miniature Schnauzer
0.177846224,Miniature Schnauzer
12.26545745,Miniature Schnauzer
0.755646817,Miniature Schnauzer
8.008213552,Miniature Schnauzer
10.12719598,Miniature Schnauzer
11.00057039,Miniature Schnauzer
12.37223363,Miniature Schnauzer
14.37360256,Miniature Schnauzer
11.99167237,Miniature Schnauzer
8.936230892,Miniature Schnauzer
10.34633812,Miniature Schnauzer
13.50844171,Miniature Schnauzer
12.83219256,Miniature Schnauzer
12.273671,Miniature Schnauzer
4.002623774,Miniature Schnauzer
10.4476386,Miniature Schnauzer
13.11145334,Miniature Schnauzer
12.91980379,Miniature Schnauzer
14.52418435,Miniature Schnauzer
13.00193931,Miniature Schnauzer
14.58441707,Miniature Schnauzer
6.581793292,Miniature Schnauzer
14.12719598,Miniature Schnauzer
10.07802875,Miniature Schnauzer
14.89926991,Miniature Schnauzer
10.99247091,Miniature Schnauzer
10.51049509,Miniature Schnauzer
13.30595483,Miniature Schnauzer
13.90543007,Miniature Schnauzer
3.403148528,Miniature Schnauzer
13.86447639,Miniature Schnauzer
8.83504449,Miniature Schnauzer
8.117727584,Miniature Schnauzer
12.04654346,Miniature Schnauzer
12.0,Miniature Schnauzer
8.817307051,Miniature Schnauzer
