Age of Death,Type
8.950034223,Newfoundland
7.455053616,Newfoundland
10.65286334,Newfoundland
9.886265115,Newfoundland
6.855578371,Newfoundland
10.23682409,Newfoundland
10.27503993,Newfoundland
7.646817248,Newfoundland
8.481747661,Newfoundland
9.70294319,Newfoundland
10.56536619,Newfoundland
11.05258955,Newfoundland
6.192904403,Newfoundland
8.626853753,Newfoundland
11.78097194,Newfoundland
12.00262377,Newfoundland
6.822610084,Newfoundland
10.49133014,Newfoundland
7.192219941,Newfoundland
13.17180014,Newfoundland
3.383983573,Newfoundland
8.55578371,Newfoundland
11.22507415,Newfoundland
8.648870637,Newfoundland
13.40714123,Newfoundland
10.97592973,Newfoundland
11.35922884,Newfoundland
0.479123888,Newfoundland
9.478439425,Newfoundland
6.160050194,Newfoundland
8.306525211,Newfoundland
10.77606662,Newfoundland
4.99920146,Newfoundland
10.81724846,Newfoundland
8.851471595,Newfoundland
12.5174538,Newfoundland
