Age of Death,Type
11.76443076,Old English Sheepdog
3.263518138,Old English Sheepdog
10.31348392,Old English Sheepdog
6.49406799,Old English Sheepdog
8.421514944,Old English Sheepdog
9.672712754,Old English Sheepdog
12.7801734,Old English Sheepdog
10.99783253,Old English Sheepdog
12.62149213,Old English Sheepdog
14.09445585,Old English Sheepdog
14.20396988,Old English Sheepdog
4.681610769,Old English Sheepdog
6.162788045,Old English Sheepdog
10.8773671,Old English Sheepdog
12.91718001,Old English Sheepdog
13.10050194,Old English Sheepdog
13.78222679,Old English Sheepdog
13.79865389,Old English Sheepdog
14.50513347,Old English Sheepdog
10.20396988,Old English Sheepdog
9.295003422,Old English Sheepdog
11.7507415,Old English Sheepdog
14.20111796,Old English Sheepdog
11.70978782,Old English Sheepdog
13.92744695,Old English Sheepdog
9.864362309,Old English Sheepdog
9.453798768,Old English Sheepdog
11.65491672,Old English Sheepdog
9.590691307,Old English Sheepdog
10.48037874,Old English Sheepdog
10.40930869,Old English Sheepdog
10.77332877,Old English Sheepdog
9.957449236,Old English Sheepdog
9.954711385,Old English Sheepdog
8.999315537,Old English Sheepdog
10.65833904,Old English Sheepdog
11.42493726,Old English Sheepdog
12.0109514,Old English Sheepdog
10.64191193,Old English Sheepdog
11.47421857,Old English Sheepdog
11.76990646,Old English Sheepdog
13.11419119,Old English Sheepdog
10.46132786,Old English Sheepdog
4.17522245,Old English Sheepdog
15.53445129,Old English Sheepdog
7.868469085,Old English Sheepdog
12.29842574,Old English Sheepdog
13.04312115,Old English Sheepdog
