Age of Death,Type
15.99988592,Papillon
12.87873603,Papillon
14.78975587,Papillon
9.815080995,Papillon
14.96771618,Papillon
15.03353867,Papillon
10.58726899,Papillon
12.19974903,Papillon
13.19358887,Papillon
15.36470454,Papillon
0.506502396,Papillon
10.00673055,Papillon
14.11350673,Papillon
15.34827744,Papillon
19.20043349,Papillon
12.24355464,Papillon
8.525553274,Papillon
12.31473876,Papillon
0.032740132,Papillon
11.07175451,Papillon
7.597535934,Papillon
10.65297741,Papillon
16.18605978,Papillon
15.49075975,Papillon
15.07449236,Papillon
4.585785991,Papillon
13.00193931,Papillon
10.24218572,Papillon
7.452315765,Papillon
12.87873603,Papillon
10.4257358,Papillon
12.38329911,Papillon
12.93075519,Papillon
13.09217431,Papillon
9.179899612,Papillon
