Age of Death,Type
13.02384212,Parson Russel Terrier
14.83903719,Parson Russel Terrier
16.13404061,Parson Russel Terrier
5.672826831,Parson Russel Terrier
7.331850331,Parson Russel Terrier
10.365389,Parson Russel Terrier
16.00262377,Parson Russel Terrier
8.971937029,Parson Russel Terrier
14.03148528,Parson Russel Terrier
9.152635181,Parson Russel Terrier
12.24640657,Parson Russel Terrier
13.63164499,Parson Russel Terrier
14.63381246,Parson Russel Terrier
0.142368241,Parson Russel Terrier
11.41672371,Parson Russel Terrier
7.129249373,Parson Russel Terrier
14.10529318,Parson Russel Terrier
