Age of Death,Type
15.69609856,Poodle Miniature
9.689139859,Poodle Miniature
1.924709103,Poodle Miniature
15.12924937,Poodle Miniature
16.00273785,Poodle Miniature
16.15605749,Poodle Miniature
15.38113164,Poodle Miniature
12.37234771,Poodle Miniature
7.999885923,Poodle Miniature
12.82956879,Poodle Miniature
15.31542323,Poodle Miniature
15.35112936,Poodle Miniature
16.30652521,Poodle Miniature
16.69256217,Poodle Miniature
17.0568104,Poodle Miniature
17.95482546,Poodle Miniature
12.11213781,Poodle Miniature
6.915697011,Poodle Miniature
12.37770933,Poodle Miniature
14.16826375,Poodle Miniature
18.78439425,Poodle Miniature
19.99988592,Poodle Miniature
18.00410678,Poodle Miniature
14.50513347,Poodle Miniature
14.10803103,Poodle Miniature
3.252452658,Poodle Miniature
13.38523842,Poodle Miniature
14.19575633,Poodle Miniature
