Age of Death,Type
9.002053388,Poodle Standard
14.89938398,Poodle Standard
7.460529318,Poodle Standard
13.77948893,Poodle Standard
12.25735797,Poodle Standard
2.745950262,Poodle Standard
13.96303901,Poodle Standard
15.95060461,Poodle Standard
14.42299795,Poodle Standard
8.676135067,Poodle Standard
11.00068446,Poodle Standard
11.00068446,Poodle Standard
11.10460872,Poodle Standard
15.00057039,Poodle Standard
15.71800137,Poodle Standard
17.00193931,Poodle Standard
1.995893224,Poodle Standard
13.70294319,Poodle Standard
7.553616245,Poodle Standard
9.94661191,Poodle Standard
13.94375998,Poodle Standard
14.32705909,Poodle Standard
15.94786676,Poodle Standard
13.42094456,Poodle Standard
