Age of Death,Type
10.86915355,Poodle
13.58236368,Poodle
16.00273785,Poodle
11.78633356,Poodle
7.578256902,Poodle
15.49338353,Poodle
19.044376,Poodle
14.58715492,Poodle
14.92128679,Poodle
17.34154689,Poodle
13.40987908,Poodle
14.54608715,Poodle
16.93623089,Poodle
12.35854438,Poodle
3.893223819,Poodle
11.49925729,Poodle
7.811088296,Poodle
7.720625143,Poodle
14.08898015,Poodle
10.10803103,Poodle
10.97866758,Poodle
11.01973534,Poodle
10.05874971,Poodle
10.72963723,Poodle
14.64464978,Poodle
11.11282227,Poodle
14.33538672,Poodle
14.59536847,Poodle
12.20533881,Poodle
18.08339037,Poodle
14.40098106,Poodle
11.68503308,Poodle
8.906228611,Poodle
2.754277892,Poodle
