Age of Death,Type
11.14293863,Rhodesian Ridgeback
14.75427789,Rhodesian Ridgeback
11.68240931,Rhodesian Ridgeback
10.07791467,Rhodesian Ridgeback
13.05954825,Rhodesian Ridgeback
3.214236824,Rhodesian Ridgeback
10.54882501,Rhodesian Ridgeback
13.88911704,Rhodesian Ridgeback
12.24629249,Rhodesian Ridgeback
9.03479352,Rhodesian Ridgeback
8.31211499,Rhodesian Ridgeback
9.513917408,Rhodesian Ridgeback
9.858886607,Rhodesian Ridgeback
10.23408624,Rhodesian Ridgeback
10.47227926,Rhodesian Ridgeback
10.49418207,Rhodesian Ridgeback
10.72667123,Rhodesian Ridgeback
11.06354095,Rhodesian Ridgeback
11.52361396,Rhodesian Ridgeback
11.62217659,Rhodesian Ridgeback
11.86573123,Rhodesian Ridgeback
13.48927675,Rhodesian Ridgeback
14.42288387,Rhodesian Ridgeback
1.965662788,Rhodesian Ridgeback
6.228610541,Rhodesian Ridgeback
6.691193247,Rhodesian Ridgeback
7.972621492,Rhodesian Ridgeback
11.10746064,Rhodesian Ridgeback
11.60289756,Rhodesian Ridgeback
12.10939995,Rhodesian Ridgeback
12.63244353,Rhodesian Ridgeback
12.70077572,Rhodesian Ridgeback
14.00125485,Rhodesian Ridgeback
14.83367556,Rhodesian Ridgeback
11.00330824,Rhodesian Ridgeback
9.267510837,Rhodesian Ridgeback
12.18879763,Rhodesian Ridgeback
7.008898015,Rhodesian Ridgeback
8.670659366,Rhodesian Ridgeback
12.22438969,Rhodesian Ridgeback
8.249144422,Rhodesian Ridgeback
13.3031029,Rhodesian Ridgeback
8.506388319,Rhodesian Ridgeback
9.932808579,Rhodesian Ridgeback
11.85215606,Rhodesian Ridgeback
11.32375086,Rhodesian Ridgeback
12.08761123,Rhodesian Ridgeback
6.29431896,Rhodesian Ridgeback
8.5229295,Rhodesian Ridgeback
10.7103582,Rhodesian Ridgeback
11.13472507,Rhodesian Ridgeback
11.91501255,Rhodesian Ridgeback
12.79386265,Rhodesian Ridgeback
14.22849646,Rhodesian Ridgeback
9.760438056,Rhodesian Ridgeback
12.7063655,Rhodesian Ridgeback
13.72746977,Rhodesian Ridgeback
5.459160392,Rhodesian Ridgeback
5.968400639,Rhodesian Ridgeback
1.492014602,Rhodesian Ridgeback
11.47969427,Rhodesian Ridgeback
12.18605978,Rhodesian Ridgeback
13.85900068,Rhodesian Ridgeback
11.67419576,Rhodesian Ridgeback
9.935660507,Rhodesian Ridgeback
7.290896646,Rhodesian Ridgeback
2.975929728,Rhodesian Ridgeback
