Age of Death,Type
10.56798996,Rottweiler X
13.42915811,Rottweiler X
7.266141912,Rottweiler X
0.147843943,Rottweiler X
1.349760438,Rottweiler X
1.453684691,Rottweiler X
3.430527036,Rottweiler X
7.055327401,Rottweiler X
7.22507415,Rottweiler X
7.624914442,Rottweiler X
11.86573123,Rottweiler X
7.025211043,Rottweiler X
9.04312115,Rottweiler X
12.37234771,Rottweiler X
6.447638604,Rottweiler X
8.016427105,Rottweiler X
8.270933151,Rottweiler X
8.531028976,Rottweiler X
8.55578371,Rottweiler X
9.724731919,Rottweiler X
11.03616245,Rottweiler X
10.0204198,Rottweiler X
10.7158339,Rottweiler X
3.093657312,Rottweiler X
13.16073466,Rottweiler X
13.74948665,Rottweiler X
15.05544148,Rottweiler X
9.817818846,Rottweiler X
15.19221994,Rottweiler X
8.470796258,Rottweiler X
13.04859685,Rottweiler X
7.244239106,Rottweiler X
8.013575177,Rottweiler X
9.530344513,Rottweiler X
10.23956194,Rottweiler X
10.3380105,Rottweiler X
10.88843258,Rottweiler X
11.00503397,Rottweiler X
11.0389003,Rottweiler X
11.07723021,Rottweiler X
11.54004107,Rottweiler X
12.02031463,Rottweiler X
12.19415925,Rottweiler X
12.46543463,Rottweiler X
13.86436231,Rottweiler X
15.76979238,Rottweiler X
17.00193931,Rottweiler X
9.319530002,Rottweiler X
11.40862423,Rottweiler X
6.830823637,Rottweiler X
10.00136893,Rottweiler X
8.561145334,Rottweiler X
10.22587269,Rottweiler X
13.12788045,Rottweiler X
3.54825462,Rottweiler X
11.71252567,Rottweiler X
3.225188227,Rottweiler X
8.295573808,Rottweiler X
9.680926306,Rottweiler X
8.221651837,Rottweiler X
10.00136893,Rottweiler X
12.58578599,Rottweiler X
14.01220625,Rottweiler X
7.65229295,Rottweiler X
10.02874743,Rottweiler X
14.25587497,Rottweiler X
8.19974903,Rottweiler X
10.21492129,Rottweiler X
7.553730322,Rottweiler X
9.990417522,Rottweiler X
8.199863107,Rottweiler X
10.18206708,Rottweiler X
10.39550536,Rottweiler X
13.18822724,Rottweiler X
13.76853753,Rottweiler X
6.255989049,Rottweiler X
7.712525667,Rottweiler X
9.741273101,Rottweiler X
14.26135067,Rottweiler X
14.48596851,Rottweiler X
14.23671002,Rottweiler X
9.930184805,Rottweiler X
3.164841433,Rottweiler X
8.654346338,Rottweiler X
10.11088296,Rottweiler X
