Age of Death,Type
8.938968743,Schnauzer Miniature
12.18332193,Schnauzer Miniature
6.548825006,Schnauzer Miniature
12.33937942,Schnauzer Miniature
16.51186402,Schnauzer Miniature
14.97319188,Schnauzer Miniature
16.82945471,Schnauzer Miniature
13.3744011,Schnauzer Miniature
5.363449692,Schnauzer Miniature
11.90406115,Schnauzer Miniature
5.051220625,Schnauzer Miniature
12.30926306,Schnauzer Miniature
11.48528405,Schnauzer Miniature
8.892539357,Schnauzer Miniature
15.27173169,Schnauzer Miniature
5.240246407,Schnauzer Miniature
9.990417522,Schnauzer Miniature
11.69598449,Schnauzer Miniature
