Age of Death,Type
10.61727128,Scottish Terrier
12.51460187,Scottish Terrier
12.18058407,Scottish Terrier
7.351129363,Scottish Terrier
9.683778234,Scottish Terrier
13.3798768,Scottish Terrier
9.092402464,Scottish Terrier
9.308578599,Scottish Terrier
9.084074835,Scottish Terrier
8.199863107,Scottish Terrier
12.07665982,Scottish Terrier
8.202486881,Scottish Terrier
9.188227242,Scottish Terrier
10.21480721,Scottish Terrier
11.35649099,Scottish Terrier
12.28199863,Scottish Terrier
14.65560119,Scottish Terrier
10.11635866,Scottish Terrier
0.624229979,Scottish Terrier
8.68434862,Scottish Terrier
9.574264203,Scottish Terrier
10.96771618,Scottish Terrier
12.67339722,Scottish Terrier
14.1710016,Scottish Terrier
9.650924025,Scottish Terrier
10.21218344,Scottish Terrier
10.35455168,Scottish Terrier
10.39835729,Scottish Terrier
10.62000913,Scottish Terrier
11.50718686,Scottish Terrier
12.67624914,Scottish Terrier
12.72826831,Scottish Terrier
12.83504449,Scottish Terrier
13.00205339,Scottish Terrier
13.16894821,Scottish Terrier
14.23671002,Scottish Terrier
15.00616016,Scottish Terrier
15.12651152,Scottish Terrier
12.47912389,Scottish Terrier
10.15731234,Scottish Terrier
12.70362765,Scottish Terrier
9.582363678,Scottish Terrier
8.741843486,Scottish Terrier
11.50159708,Scottish Terrier
13.08955054,Scottish Terrier
10.01220625,Scottish Terrier
12.46543463,Scottish Terrier
13.73305955,Scottish Terrier
4.845995893,Scottish Terrier
10.81713438,Scottish Terrier
10.58441707,Scottish Terrier
9.333219256,Scottish Terrier
9.352498289,Scottish Terrier
9.711042665,Scottish Terrier
9.730321697,Scottish Terrier
9.795916039,Scottish Terrier
10.52156057,Scottish Terrier
12.16678074,Scottish Terrier
14.39550536,Scottish Terrier
13.72199407,Scottish Terrier
9.051220625,Scottish Terrier
11.08829569,Scottish Terrier
0.845881816,Scottish Terrier
12.00809948,Scottish Terrier
16.13677846,Scottish Terrier
14.11088296,Scottish Terrier
13.34417066,Scottish Terrier
14.56798996,Scottish Terrier
8.197125257,Scottish Terrier
11.20864705,Scottish Terrier
14.31884554,Scottish Terrier
9.560460872,Scottish Terrier
10.770705,Scottish Terrier
13.20465435,Scottish Terrier
7.93155373,Scottish Terrier
8.654232261,Scottish Terrier
8.259981748,Scottish Terrier
9.911019849,Scottish Terrier
11.14567648,Scottish Terrier
6.795231577,Scottish Terrier
8.766484143,Scottish Terrier
9.259297285,Scottish Terrier
10.08886607,Scottish Terrier
11.73716632,Scottish Terrier
12.99920146,Scottish Terrier
12.26009582,Scottish Terrier
12.99372576,Scottish Terrier
14.41752225,Scottish Terrier
10.20396988,Scottish Terrier
