Age of Death,Type
2.945927447,Shar Pei
4.443531828,Shar Pei
5.656285649,Shar Pei
0.640543007,Shar Pei
2.483230664,Shar Pei
2.491330139,Shar Pei
3.000570386,Shar Pei
4.418777093,Shar Pei
5.001939311,Shar Pei
7.019735341,Shar Pei
10.25598905,Shar Pei
4.501026694,Shar Pei
9.341432809,Shar Pei
8.878850103,Shar Pei
3.986196669,Shar Pei
5.97387634,Shar Pei
2.028633356,Shar Pei
9.45094684,Shar Pei
0.331279945,Shar Pei
4.34770705,Shar Pei
6.967716176,Shar Pei
3.485169975,Shar Pei
6.088980151,Shar Pei
9.59890486,Shar Pei
9.924709103,Shar Pei
14.38729181,Shar Pei
0.054757016,Shar Pei
8.402464066,Shar Pei
9.001008854,Shar Pei
14.03684691,Shar Pei
10.33264887,Shar Pei
9.03205567,Shar Pei
8.303901437,Shar Pei
2.973191878,Shar Pei
3.312685375,Shar Pei
3.359228839,Shar Pei
4.525553274,Shar Pei
4.607688798,Shar Pei
5.199178645,Shar Pei
5.237508556,Shar Pei
5.53045859,Shar Pei
5.585101529,Shar Pei
6.778918549,Shar Pei
8.035477983,Shar Pei
8.158795346,Shar Pei
8.988364134,Shar Pei
9.338694958,Shar Pei
9.70294319,Shar Pei
9.795916039,Shar Pei
9.801505818,Shar Pei
10.01768195,Shar Pei
10.21206936,Shar Pei
10.55430071,Shar Pei
11.26887976,Shar Pei
11.48243212,Shar Pei
11.98893452,Shar Pei
12.0,Shar Pei
14.00125485,Shar Pei
4.407939767,Shar Pei
11.00057039,Shar Pei
4.27652293,Shar Pei
6.461213781,Shar Pei
4.227241615,Shar Pei
7.523613963,Shar Pei
10.62822268,Shar Pei
0.802076204,Shar Pei
11.91501255,Shar Pei
5.168948209,Shar Pei
10.78142825,Shar Pei
10.42014602,Shar Pei
12.03000228,Shar Pei
8.391398585,Shar Pei
10.28325348,Shar Pei
5.368811316,Shar Pei
3.857631759,Shar Pei
5.757700205,Shar Pei
7.000684463,Shar Pei
6.26146475,Shar Pei
10.12172028,Shar Pei
9.215491672,Shar Pei
6.124572211,Shar Pei
6.997832535,Shar Pei
9.149897331,Shar Pei
5.336071184,Shar Pei
6.77332877,Shar Pei
8.900638832,Shar Pei
8.917065937,Shar Pei
9.28678987,Shar Pei
12.58316222,Shar Pei
12.00273785,Shar Pei
9.976614191,Shar Pei
9.979466119,Shar Pei
8.188797627,Shar Pei
0.046543463,Shar Pei
10.57084189,Shar Pei
7.279945243,Shar Pei
9.541409993,Shar Pei
6.102669405,Shar Pei
7.006160164,Shar Pei
8.164271047,Shar Pei
8.219028063,Shar Pei
9.497490303,Shar Pei
11.99988592,Shar Pei
4.618640201,Shar Pei
10.03958476,Shar Pei
7.006046087,Shar Pei
3.140200776,Shar Pei
6.461213781,Shar Pei
10.90200776,Shar Pei
8.476386037,Shar Pei
14.42299795,Shar Pei
9.021104266,Shar Pei
2.636436231,Shar Pei
3.112822268,Shar Pei
8.484485512,Shar Pei
10.5982204,Shar Pei
12.67065937,Shar Pei
