Age of Death,Type
11.3045859,Shih Tzu
15.02521104,Shih Tzu
12.45174538,Shih Tzu
0.361282227,Shih Tzu
0.621378052,Shih Tzu
1.336071184,Shih Tzu
1.363449692,Shih Tzu
1.98220397,Shih Tzu
2.861054073,Shih Tzu
2.997946612,Shih Tzu
3.071868583,Shih Tzu
3.285420945,Shih Tzu
4.030002282,Shih Tzu
4.142368241,Shih Tzu
4.325690167,Shih Tzu
4.793976728,Shih Tzu
5.169062286,Shih Tzu
5.174423911,Shih Tzu
5.264772987,Shih Tzu
5.453684691,Shih Tzu
5.472963723,Shih Tzu
6.064225416,Shih Tzu
6.721309605,Shih Tzu
8.8678987,Shih Tzu
11.26625599,Shih Tzu
11.53456537,Shih Tzu
13.69461556,Shih Tzu
16.64875656,Shih Tzu
0.002623774,Shih Tzu
0.717202829,Shih Tzu
1.680926306,Shih Tzu
8.364020078,Shih Tzu
10.0752909,Shih Tzu
10.7926078,Shih Tzu
13.82067077,Shih Tzu
17.08418891,Shih Tzu
14.60905772,Shih Tzu
12.58042437,Shih Tzu
16.14236824,Shih Tzu
15.21412275,Shih Tzu
10.57620351,Shih Tzu
10.59810632,Shih Tzu
11.48790783,Shih Tzu
11.80835044,Shih Tzu
13.37691079,Shih Tzu
13.7303217,Shih Tzu
15.00057039,Shih Tzu
16.69941349,Shih Tzu
18.27230208,Shih Tzu
10.04220853,Shih Tzu
12.14784394,Shih Tzu
12.8788501,Shih Tzu
9.954711385,Shih Tzu
12.4367687,Shih Tzu
14.96497833,Shih Tzu
6.557038558,Shih Tzu
7.633127995,Shih Tzu
11.53585694,Shih Tzu
16.1889117,Shih Tzu
18.00125485,Shih Tzu
5.801505818,Shih Tzu
13.70830481,Shih Tzu
15.34565366,Shih Tzu
14.61727128,Shih Tzu
13.76032398,Shih Tzu
11.49885923,Shih Tzu
14.5433493,Shih Tzu
5.951973534,Shih Tzu
6.746064339,Shih Tzu
14.13814739,Shih Tzu
14.02589551,Shih Tzu
14.12445813,Shih Tzu
7.348277436,Shih Tzu
7.362080767,Shih Tzu
8.284622405,Shih Tzu
10.38193018,Shih Tzu
10.39014374,Shih Tzu
11.0608031,Shih Tzu
11.38660735,Shih Tzu
11.42493726,Shih Tzu
11.50992471,Shih Tzu
11.63301392,Shih Tzu
11.72347707,Shih Tzu
12.45448323,Shih Tzu
12.87599817,Shih Tzu
13.00479124,Shih Tzu
13.18811316,Shih Tzu
13.44820899,Shih Tzu
13.45106092,Shih Tzu
13.57688798,Shih Tzu
13.72746977,Shih Tzu
13.75211043,Shih Tzu
13.81508099,Shih Tzu
14.00958248,Shih Tzu
14.03410906,Shih Tzu
14.33538672,Shih Tzu
14.62000913,Shih Tzu
14.76785307,Shih Tzu
15.99988592,Shih Tzu
16.00821355,Shih Tzu
17.05669633,Shih Tzu
2.384553958,Shih Tzu
4.533880903,Shih Tzu
7.685147159,Shih Tzu
9.607118412,Shih Tzu
10.02589551,Shih Tzu
10.90474561,Shih Tzu
12.94182067,Shih Tzu
13.50034223,Shih Tzu
14.09707963,Shih Tzu
15.62491444,Shih Tzu
15.85763176,Shih Tzu
16.1779603,Shih Tzu
17.11156742,Shih Tzu
11.29899612,Shih Tzu
3.003308236,Shih Tzu
3.619324663,Shih Tzu
8.005361624,Shih Tzu
8.098562628,Shih Tzu
8.287360256,Shih Tzu
9.97387634,Shih Tzu
10.0862423,Shih Tzu
10.28884326,Shih Tzu
10.57894136,Shih Tzu
10.62548483,Shih Tzu
10.67476614,Shih Tzu
10.81439653,Shih Tzu
11.41946156,Shih Tzu
11.47980835,Shih Tzu
12.08761123,Shih Tzu
12.2023728,Shih Tzu
12.95539585,Shih Tzu
13.08955054,Shih Tzu
13.136094,Shih Tzu
13.22918093,Shih Tzu
13.47284965,Shih Tzu
13.82614648,Shih Tzu
13.86173854,Shih Tzu
14.00025899,Shih Tzu
14.48585444,Shih Tzu
15.36744239,Shih Tzu
15.46600502,Shih Tzu
15.51802418,Shih Tzu
15.53171344,Shih Tzu
15.94239106,Shih Tzu
16.00262377,Shih Tzu
16.39151266,Shih Tzu
17.00193931,Shih Tzu
18.04517454,Shih Tzu
5.72746977,Shih Tzu
10.60905772,Shih Tzu
9.801391741,Shih Tzu
15.86025553,Shih Tzu
6.324321241,Shih Tzu
9.431781885,Shih Tzu
13.96018709,Shih Tzu
14.01505818,Shih Tzu
