Age of Death,Type
13.8479352,Springer Spaniel
6.080652521,Springer Spaniel
8.75553274,Springer Spaniel
9.001939311,Springer Spaniel
9.111453342,Springer Spaniel
9.878051563,Springer Spaniel
10.1929044,Springer Spaniel
10.73762263,Springer Spaniel
11.1156742,Springer Spaniel
12.4461556,Springer Spaniel
12.61042665,Springer Spaniel
12.84052019,Springer Spaniel
13.02657997,Springer Spaniel
13.49486653,Springer Spaniel
13.74937258,Springer Spaniel
14.10255533,Springer Spaniel
14.27789185,Springer Spaniel
14.78701802,Springer Spaniel
15.00068446,Springer Spaniel
3.088181611,Springer Spaniel
14.83367556,Springer Spaniel
5.04312115,Springer Spaniel
2.05065024,Springer Spaniel
2.461099703,Springer Spaniel
2.833561488,Springer Spaniel
4.265457449,Springer Spaniel
5.004791239,Springer Spaniel
6.15742642,Springer Spaniel
6.373716632,Springer Spaniel
7.561943874,Springer Spaniel
7.865731234,Springer Spaniel
8.454255076,Springer Spaniel
8.914328086,Springer Spaniel
10.63917408,Springer Spaniel
11.53182752,Springer Spaniel
11.87132101,Springer Spaniel
13.00193931,Springer Spaniel
1.374287018,Springer Spaniel
8.646018709,Springer Spaniel
9.579625827,Springer Spaniel
9.815080995,Springer Spaniel
10.46680356,Springer Spaniel
10.49680584,Springer Spaniel
14.29694273,Springer Spaniel
14.42562172,Springer Spaniel
14.56810404,Springer Spaniel
13.77412731,Springer Spaniel
12.99372576,Springer Spaniel
11.77538216,Springer Spaniel
11.85215606,Springer Spaniel
9.387976272,Springer Spaniel
11.00889802,Springer Spaniel
8.136778462,Springer Spaniel
8.900752909,Springer Spaniel
9.87816564,Springer Spaniel
12.4406799,Springer Spaniel
13.23203285,Springer Spaniel
13.59069131,Springer Spaniel
13.66461328,Springer Spaniel
13.67282683,Springer Spaniel
13.81245722,Springer Spaniel
13.91101985,Springer Spaniel
14.1655259,Springer Spaniel
14.23682409,Springer Spaniel
14.36550308,Springer Spaniel
14.5982204,Springer Spaniel
16.82409309,Springer Spaniel
17.73305955,Springer Spaniel
12.01357518,Springer Spaniel
5.659137577,Springer Spaniel
6.07791467,Springer Spaniel
11.53171344,Springer Spaniel
12.35033082,Springer Spaniel
7.906798996,Springer Spaniel
11.40041068,Springer Spaniel
13.09228839,Springer Spaniel
13.11692904,Springer Spaniel
13.95756331,Springer Spaniel
14.22028291,Springer Spaniel
15.07723021,Springer Spaniel
15.18412047,Springer Spaniel
18.66381474,Springer Spaniel
11.60027379,Springer Spaniel
11.75895505,Springer Spaniel
2.231234314,Springer Spaniel
9.872575861,Springer Spaniel
3.879420488,Springer Spaniel
14.85272644,Springer Spaniel
4.155943418,Springer Spaniel
11.9835729,Springer Spaniel
9.661875428,Springer Spaniel
10.68856947,Springer Spaniel
11.31268538,Springer Spaniel
13.8424595,Springer Spaniel
14.13540954,Springer Spaniel
10.87200548,Springer Spaniel
12.99383984,Springer Spaniel
11.91501255,Springer Spaniel
14.3434862,Springer Spaniel
14.99794661,Springer Spaniel
15.66039243,Springer Spaniel
2.045060461,Springer Spaniel
2.212183436,Springer Spaniel
2.291467032,Springer Spaniel
5.607004335,Springer Spaniel
12.19701118,Springer Spaniel
8.919917864,Springer Spaniel
9.910905772,Springer Spaniel
10.51323295,Springer Spaniel
10.96224047,Springer Spaniel
11.29625827,Springer Spaniel
11.31816108,Springer Spaniel
11.65217887,Springer Spaniel
11.66586813,Springer Spaniel
11.72073922,Springer Spaniel
12.2681953,Springer Spaniel
13.52760666,Springer Spaniel
14.80618298,Springer Spaniel
15.47433265,Springer Spaniel
10.6884554,Springer Spaniel
13.07312343,Springer Spaniel
14.08339037,Springer Spaniel
15.96155601,Springer Spaniel
3.528975587,Springer Spaniel
6.948551221,Springer Spaniel
8.999315537,Springer Spaniel
9.002053388,Springer Spaniel
9.043007073,Springer Spaniel
9.215605749,Springer Spaniel
9.437371663,Springer Spaniel
10.00125485,Springer Spaniel
10.47490303,Springer Spaniel
10.8937942,Springer Spaniel
10.90189368,Springer Spaniel
11.46052932,Springer Spaniel
11.50159708,Springer Spaniel
11.50433493,Springer Spaniel
11.52087611,Springer Spaniel
11.55909195,Springer Spaniel
11.58647045,Springer Spaniel
12.18058407,Springer Spaniel
12.36402008,Springer Spaniel
12.57209674,Springer Spaniel
12.7801734,Springer Spaniel
12.83766826,Springer Spaniel
12.84314397,Springer Spaniel
12.91432809,Springer Spaniel
12.93623089,Springer Spaniel
13.00193931,Springer Spaniel
13.05943418,Springer Spaniel
13.20454027,Springer Spaniel
13.22644308,Springer Spaniel
13.34976044,Springer Spaniel
13.45379877,Springer Spaniel
13.48665298,Springer Spaniel
13.63449692,Springer Spaniel
13.72758385,Springer Spaniel
13.74401095,Springer Spaniel
14.00125485,Springer Spaniel
14.11350673,Springer Spaniel
14.11624458,Springer Spaniel
14.15457449,Springer Spaniel
14.1929044,Springer Spaniel
14.29694273,Springer Spaniel
14.33264887,Springer Spaniel
14.47764089,Springer Spaniel
14.51882272,Springer Spaniel
14.56536619,Springer Spaniel
14.63928816,Springer Spaniel
14.66666667,Springer Spaniel
14.67202829,Springer Spaniel
14.67214237,Springer Spaniel
14.84462697,Springer Spaniel
14.89915583,Springer Spaniel
15.0608031,Springer Spaniel
15.08281999,Springer Spaniel
15.3155373,Springer Spaniel
15.33185033,Springer Spaniel
15.44695414,Springer Spaniel
15.55646817,Springer Spaniel
15.76716861,Springer Spaniel
15.86299338,Springer Spaniel
15.99988592,Springer Spaniel
15.99988592,Springer Spaniel
16.26830938,Springer Spaniel
17.10597764,Springer Spaniel
5.270362765,Springer Spaniel
10.00125485,Springer Spaniel
11.17579284,Springer Spaniel
6.121720283,Springer Spaniel
13.82877025,Springer Spaniel
9.174423911,Springer Spaniel
10.74868811,Springer Spaniel
10.83356149,Springer Spaniel
11.23054985,Springer Spaniel
12.63244353,Springer Spaniel
12.79671458,Springer Spaniel
13.0568104,Springer Spaniel
13.14989733,Springer Spaniel
13.59605293,Springer Spaniel
13.94387406,Springer Spaniel
13.95197353,Springer Spaniel
14.00673055,Springer Spaniel
14.14647502,Springer Spaniel
14.20659366,Springer Spaniel
14.21492129,Springer Spaniel
14.52156057,Springer Spaniel
14.63917408,Springer Spaniel
14.99794661,Springer Spaniel
15.38124572,Springer Spaniel
15.40314853,Springer Spaniel
15.59753593,Springer Spaniel
16.3340178,Springer Spaniel
14.81998631,Springer Spaniel
7.112936345,Springer Spaniel
7.750855578,Springer Spaniel
14.92117271,Springer Spaniel
16.86778462,Springer Spaniel
16.24914442,Springer Spaniel
2.776066621,Springer Spaniel
3.288044718,Springer Spaniel
4.016313028,Springer Spaniel
4.320214465,Springer Spaniel
5.672712754,Springer Spaniel
5.968400639,Springer Spaniel
6.00673055,Springer Spaniel
6.327059092,Springer Spaniel
6.466689482,Springer Spaniel
6.814510609,Springer Spaniel
7.279945243,Springer Spaniel
7.315423226,Springer Spaniel
7.403034451,Springer Spaniel
7.676933607,Springer Spaniel
7.728838695,Springer Spaniel
8.320214465,Springer Spaniel
8.350444901,Springer Spaniel
8.41889117,Springer Spaniel
8.796600502,Springer Spaniel
8.955395848,Springer Spaniel
9.001939311,Springer Spaniel
9.116929044,Springer Spaniel
9.51939311,Springer Spaniel
9.585101529,Springer Spaniel
9.951973534,Springer Spaniel
10.47775496,Springer Spaniel
10.61190965,Springer Spaniel
10.68297969,Springer Spaniel
10.6939311,Springer Spaniel
10.88295688,Springer Spaniel
11.3100616,Springer Spaniel
11.46052932,Springer Spaniel
11.50444901,Springer Spaniel
11.69324663,Springer Spaniel
11.7397901,Springer Spaniel
11.75359343,Springer Spaniel
11.79443304,Springer Spaniel
11.86310746,Springer Spaniel
11.92334018,Springer Spaniel
12.00262377,Springer Spaniel
12.00536162,Springer Spaniel
12.10392425,Springer Spaniel
12.183436,Springer Spaniel
12.20248688,Springer Spaniel
12.25998175,Springer Spaniel
12.33664157,Springer Spaniel
12.47079626,Springer Spaniel
12.49269906,Springer Spaniel
12.54745608,Springer Spaniel
12.73910564,Springer Spaniel
12.76922199,Springer Spaniel
12.7801734,Springer Spaniel
12.78291125,Springer Spaniel
12.85968515,Springer Spaniel
12.89790098,Springer Spaniel
12.9745608,Springer Spaniel
13.00193931,Springer Spaniel
13.02110427,Springer Spaniel
13.02384212,Springer Spaniel
13.02931782,Springer Spaniel
13.06764773,Springer Spaniel
13.1470454,Springer Spaniel
13.1470454,Springer Spaniel
13.24024641,Springer Spaniel
13.26751084,Springer Spaniel
13.36892539,Springer Spaniel
13.38250057,Springer Spaniel
13.40451745,Springer Spaniel
13.48665298,Springer Spaniel
13.52760666,Springer Spaniel
13.60711841,Springer Spaniel
13.65639973,Springer Spaniel
13.69746749,Springer Spaniel
13.72473192,Springer Spaniel
13.74663473,Springer Spaniel
13.79055441,Springer Spaniel
13.80960529,Springer Spaniel
13.84519735,Springer Spaniel
13.86983801,Springer Spaniel
13.87542779,Springer Spaniel
13.91900525,Springer Spaniel
13.99041752,Springer Spaniel
14.00125485,Springer Spaniel
14.00673055,Springer Spaniel
14.35169975,Springer Spaniel
14.53251198,Springer Spaniel
14.59263062,Springer Spaniel
14.62000913,Springer Spaniel
14.62822268,Springer Spaniel
14.65012548,Springer Spaniel
14.74868811,Springer Spaniel
14.77880447,Springer Spaniel
14.81165868,Springer Spaniel
14.8718914,Springer Spaniel
15.00057039,Springer Spaniel
15.00057039,Springer Spaniel
15.10187086,Springer Spaniel
15.12377367,Springer Spaniel
15.13472507,Springer Spaniel
15.14852841,Springer Spaniel
15.17031713,Springer Spaniel
15.20602327,Springer Spaniel
15.21697467,Springer Spaniel
15.22245038,Springer Spaniel
15.2881588,Springer Spaniel
15.49064568,Springer Spaniel
15.49619632,Springer Spaniel
15.50444901,Springer Spaniel
15.52076204,Springer Spaniel
15.62206251,Springer Spaniel
15.63586585,Springer Spaniel
15.7452658,Springer Spaniel
15.81382615,Springer Spaniel
15.95608031,Springer Spaniel
15.96988364,Springer Spaniel
16.04095368,Springer Spaniel
16.22176591,Springer Spaniel
16.22450376,Springer Spaniel
16.41889117,Springer Spaniel
16.54209446,Springer Spaniel
16.70351358,Springer Spaniel
17.29345904,Springer Spaniel
18.00125485,Springer Spaniel
19.00330824,Springer Spaniel
15.04722793,Springer Spaniel
15.52897559,Springer Spaniel
0.008099475,Springer Spaniel
8.364020078,Springer Spaniel
10.00136893,Springer Spaniel
10.40371891,Springer Spaniel
11.28256902,Springer Spaniel
11.54266484,Springer Spaniel
11.80549852,Springer Spaniel
12.03821583,Springer Spaniel
12.65149441,Springer Spaniel
13.00193931,Springer Spaniel
13.06490988,Springer Spaniel
13.42368241,Springer Spaniel
13.64271047,Springer Spaniel
13.94387406,Springer Spaniel
14.06707734,Springer Spaniel
15.09103354,Springer Spaniel
16.19153548,Springer Spaniel
6.693931097,Springer Spaniel
14.23956194,Springer Spaniel
15.54277892,Springer Spaniel
15.00604609,Springer Spaniel
15.46338125,Springer Spaniel
0.952772074,Springer Spaniel
1.83424595,Springer Spaniel
3.999885923,Springer Spaniel
4.804928131,Springer Spaniel
8.008099475,Springer Spaniel
9.007415013,Springer Spaniel
13.51939311,Springer Spaniel
10.21754506,Springer Spaniel
12.70351358,Springer Spaniel
1.954711385,Springer Spaniel
13.99041752,Springer Spaniel
12.0,Springer Spaniel
10.09707963,Springer Spaniel
11.40303445,Springer Spaniel
10.90485969,Springer Spaniel
13.78770249,Springer Spaniel
12.17784622,Springer Spaniel
7.999885923,Springer Spaniel
10.30789414,Springer Spaniel
12.59673739,Springer Spaniel
14.00125485,Springer Spaniel
9.256559434,Springer Spaniel
13.09228839,Springer Spaniel
15.16221766,Springer Spaniel
10.28325348,Springer Spaniel
8.607688798,Springer Spaniel
12.18879763,Springer Spaniel
12.19986311,Springer Spaniel
13.80150582,Springer Spaniel
4.030002282,Springer Spaniel
5.497490303,Springer Spaniel
12.87873603,Springer Spaniel
13.48939083,Springer Spaniel
9.79865389,Springer Spaniel
12.06833219,Springer Spaniel
8.180698152,Springer Spaniel
9.010152863,Springer Spaniel
12.5229295,Springer Spaniel
9.587839379,Springer Spaniel
12.28736026,Springer Spaniel
8.747433265,Springer Spaniel
9.711156742,Springer Spaniel
11.96703171,Springer Spaniel
