Age of Death,Type
10.7158339,Staffordshire Bull Terrier
12.26557153,Staffordshire Bull Terrier
12.85957107,Staffordshire Bull Terrier
14.14362309,Staffordshire Bull Terrier
16.99980737,Staffordshire Bull Terrier
5.571412275,Staffordshire Bull Terrier
6.001254848,Staffordshire Bull Terrier
6.001368925,Staffordshire Bull Terrier
7.824663473,Staffordshire Bull Terrier
7.999885923,Staffordshire Bull Terrier
8.229865389,Staffordshire Bull Terrier
8.670659366,Staffordshire Bull Terrier
9.234770705,Staffordshire Bull Terrier
9.620807666,Staffordshire Bull Terrier
10.19301848,Staffordshire Bull Terrier
10.22587269,Staffordshire Bull Terrier
10.32158339,Staffordshire Bull Terrier
10.51323295,Staffordshire Bull Terrier
10.87748118,Staffordshire Bull Terrier
11.00342231,Staffordshire Bull Terrier
11.07186858,Staffordshire Bull Terrier
11.35112936,Staffordshire Bull Terrier
11.5416975,Staffordshire Bull Terrier
11.69609856,Staffordshire Bull Terrier
12.07095597,Staffordshire Bull Terrier
12.2627196,Staffordshire Bull Terrier
12.27093315,Staffordshire Bull Terrier
12.84861967,Staffordshire Bull Terrier
13.00083767,Staffordshire Bull Terrier
13.01848049,Staffordshire Bull Terrier
13.06667636,Staffordshire Bull Terrier
13.43178188,Staffordshire Bull Terrier
13.46748802,Staffordshire Bull Terrier
13.48117728,Staffordshire Bull Terrier
13.59331508,Staffordshire Bull Terrier
13.62080767,Staffordshire Bull Terrier
13.78496464,Staffordshire Bull Terrier
14.00125485,Staffordshire Bull Terrier
14.04779831,Staffordshire Bull Terrier
14.06707734,Staffordshire Bull Terrier
14.08612822,Staffordshire Bull Terrier
14.1655259,Staffordshire Bull Terrier
14.19575633,Staffordshire Bull Terrier
14.38729181,Staffordshire Bull Terrier
14.62548483,Staffordshire Bull Terrier
14.86652977,Staffordshire Bull Terrier
14.88010495,Staffordshire Bull Terrier
14.92950034,Staffordshire Bull Terrier
16.0,Staffordshire Bull Terrier
18.00125485,Staffordshire Bull Terrier
12.43805613,Staffordshire Bull Terrier
