Age of Death,Type
1.004677162,Staffordshire Bull X
2.023157655,Staffordshire Bull X
7.999885923,Staffordshire Bull X
10.15731234,Staffordshire Bull X
10.85535022,Staffordshire Bull X
12.0,Staffordshire Bull X
13.59331508,Staffordshire Bull X
13.99863107,Staffordshire Bull X
15.00068446,Staffordshire Bull X
15.6605065,Staffordshire Bull X
18.48026466,Staffordshire Bull X
12.50365047,Staffordshire Bull X
11.96703171,Staffordshire Bull X
1.32238193,Staffordshire Bull X
13.69461556,Staffordshire Bull X
13.78234086,Staffordshire Bull X
14.01779603,Staffordshire Bull X
14.67488022,Staffordshire Bull X
14.72963723,Staffordshire Bull X
15.00068446,Staffordshire Bull X
15.0498517,Staffordshire Bull X
18.39276751,Staffordshire Bull X
6.080652521,Staffordshire Bull X
8.046429386,Staffordshire Bull X
7.999885923,Staffordshire Bull X
12.19427333,Staffordshire Bull X
15.2168606,Staffordshire Bull X
18.40645676,Staffordshire Bull X
4.82397901,Staffordshire Bull X
10.3708647,Staffordshire Bull X
10.96783025,Staffordshire Bull X
10.4202601,Staffordshire Bull X
13.77948893,Staffordshire Bull X
14.00125485,Staffordshire Bull X
10.58453114,Staffordshire Bull X
11.18138261,Staffordshire Bull X
13.51939311,Staffordshire Bull X
13.76591376,Staffordshire Bull X
14.38740589,Staffordshire Bull X
13.68925394,Staffordshire Bull X
5.051334702,Staffordshire Bull X
15.69883641,Staffordshire Bull X
4.596737394,Staffordshire Bull X
14.24492357,Staffordshire Bull X
18.58441707,Staffordshire Bull X
15.57015743,Staffordshire Bull X
5.001939311,Staffordshire Bull X
13.0568104,Staffordshire Bull X
14.02874743,Staffordshire Bull X
5.880789414,Staffordshire Bull X
12.68161077,Staffordshire Bull X
13.88352726,Staffordshire Bull X
14.23944787,Staffordshire Bull X
14.42288387,Staffordshire Bull X
14.81713438,Staffordshire Bull X
