Age of Death,Type
3.091033539,Staffordshire
15.74252795,Staffordshire
8.016427105,Staffordshire
12.0,Staffordshire
4.249030345,Staffordshire
15.52908966,Staffordshire
10.24229979,Staffordshire
8.681724846,Staffordshire
2.699406799,Staffordshire
3.422199407,Staffordshire
5.497490303,Staffordshire
12.42710472,Staffordshire
13.01015286,Staffordshire
14.14909879,Staffordshire
14.51334702,Staffordshire
15.00057039,Staffordshire
16.00821355,Staffordshire
9.3908282,Staffordshire
10.03137121,Staffordshire
8.273671002,Staffordshire
15.57837098,Staffordshire
13.77675108,Staffordshire
13.79044034,Staffordshire
8.142254164,Staffordshire
12.83219256,Staffordshire
12.45436915,Staffordshire
9.916381474,Staffordshire
7.392197125,Staffordshire
14.03969884,Staffordshire
11.67145791,Staffordshire
13.21811545,Staffordshire
12.50376454,Staffordshire
13.60985626,Staffordshire
13.59616701,Staffordshire
8.54745608,Staffordshire
11.27983117,Staffordshire
8.667921515,Staffordshire
10.07517682,Staffordshire
16.3449692,Staffordshire
12.0847593,Staffordshire
15.11829797,Staffordshire
5.900068446,Staffordshire
8.703513575,Staffordshire
14.93497604,Staffordshire
