Age of Death,Type
15.11829797,Standard Poodle
15.00057039,Standard Poodle
10.00125485,Standard Poodle
12.33390372,Standard Poodle
16.91706594,Standard Poodle
10.68583162,Standard Poodle
11.24971481,Standard Poodle
11.82466347,Standard Poodle
12.83230664,Standard Poodle
13.97935204,Standard Poodle
14.00136893,Standard Poodle
13.07049966,Standard Poodle
9.836983801,Standard Poodle
10.8664157,Standard Poodle
12.09856263,Standard Poodle
10.32717317,Standard Poodle
12.27378508,Standard Poodle
11.83287702,Standard Poodle
13.09776409,Standard Poodle
13.42904403,Standard Poodle
7.096395163,Standard Poodle
4.177846224,Standard Poodle
8.922541638,Standard Poodle
12.56388319,Standard Poodle
10.53524983,Standard Poodle
10.79796943,Standard Poodle
