Age of Death,Type
10.00125485,Terrier X
7.186744239,Terrier X
7.049965777,Terrier X
12.20248688,Terrier X
15.08281999,Terrier X
16.28199863,Terrier X
17.32238193,Terrier X
18.38181611,Terrier X
14.11898243,Terrier X
14.36824093,Terrier X
10.88843258,Terrier X
13.60426648,Terrier X
9.519507187,Terrier X
9.894478668,Terrier X
14.091718,Terrier X
14.24503765,Terrier X
15.64944102,Terrier X
15.19769564,Terrier X
14.93759982,Terrier X
14.82272416,Terrier X
15.99795878,Terrier X
7.33744011,Terrier X
10.84462697,Terrier X
12.32569017,Terrier X
16.1011864,Terrier X
6.006844627,Terrier X
6.546087155,Terrier X
6.661190965,Terrier X
7.482546201,Terrier X
11.04711385,Terrier X
12.10403833,Terrier X
12.79671458,Terrier X
13.00064881,Terrier X
13.14430755,Terrier X
13.99863107,Terrier X
14.23397217,Terrier X
14.79796943,Terrier X
15.00057039,Terrier X
15.00057039,Terrier X
15.26351814,Terrier X
15.49885923,Terrier X
16.38329911,Terrier X
17.00071555,Terrier X
16.63506731,Terrier X
11.30732375,Terrier X
12.78028747,Terrier X
16.29568789,Terrier X
5.426306183,Terrier X
15.55624002,Terrier X
9.396303901,Terrier X
15.03627652,Terrier X
10.53524983,Terrier X
12.06844627,Terrier X
11.10187086,Terrier X
6.896532056,Terrier X
11.92060233,Terrier X
15.99988592,Terrier X
14.40930869,Terrier X
14.07255305,Terrier X
10.51334702,Terrier X
12.27093315,Terrier X
12.92539357,Terrier X
13.01026694,Terrier X
15.00057039,Terrier X
16.45984486,Terrier X
7.936915355,Terrier X
10.83629934,Terrier X
12.89527721,Terrier X
13.47832535,Terrier X
13.84257358,Terrier X
11.01973534,Terrier X
16.78291125,Terrier X
11.71252567,Terrier X
13.92197125,Terrier X
13.71115674,Terrier X
