Age of Death,Type
9.03205567,Unknown
15.57004335,Unknown
3.999885923,Unknown
12.06297057,Unknown
10.66119097,Unknown
11.00045631,Unknown
14.92676249,Unknown
15.99832985,Unknown
9.440109514,Unknown
9.511179557,Unknown
10.05886379,Unknown
13.19085102,Unknown
14.00125485,Unknown
14.21765914,Unknown
15.62480037,Unknown
15.8384668,Unknown
4.793862651,Unknown
14.20944559,Unknown
8.506502396,Unknown
8.005361624,Unknown
10.43383527,Unknown
9.700091262,Unknown
12.5119781,Unknown
12.08761123,Unknown
13.80412959,Unknown
8.073807894,Unknown
11.62491444,Unknown
12.13677846,Unknown
9.152521104,Unknown
14.88295688,Unknown
10.40098106,Unknown
2.209331508,Unknown
17.28678987,Unknown
