Age of Death,Type
12.15331964,Weimaraner
1.379876797,Weimaraner
6.220282911,Weimaraner
6.294204883,Weimaraner
10.74868811,Weimaraner
8.602213096,Weimaraner
10.40657084,Weimaraner
12.85409537,Weimaraner
10.32705909,Weimaraner
11.16210358,Weimaraner
10.30789414,Weimaraner
9.267510837,Weimaraner
10.45847593,Weimaraner
11.07175451,Weimaraner
11.93965321,Weimaraner
11.94239106,Weimaraner
11.99858868,Weimaraner
12.7856491,Weimaraner
13.18263746,Weimaraner
14.8937942,Weimaraner
15.14293863,Weimaraner
13.62343144,Weimaraner
9.439995437,Weimaraner
9.467488022,Weimaraner
10.38729181,Weimaraner
10.44752453,Weimaraner
10.73226101,Weimaraner
10.9596167,Weimaraner
11.64396532,Weimaraner
11.93691535,Weimaraner
14.01232033,Weimaraner
14.80892083,Weimaraner
15.72895277,Weimaraner
13.21822952,Weimaraner
15.53718914,Weimaraner
11.85477983,Weimaraner
10.90200776,Weimaraner
9.440109514,Weimaraner
10.83915127,Weimaraner
11.00057039,Weimaraner
9.14715948,Weimaraner
11.53730322,Weimaraner
12.12035136,Weimaraner
8.93908282,Weimaraner
10.10529318,Weimaraner
8.777549624,Weimaraner
12.34770705,Weimaraner
13.54962355,Weimaraner
1.185489391,Weimaraner
11.80276067,Weimaraner
13.07871321,Weimaraner
13.6480721,Weimaraner
6.072438969,Weimaraner
0.703627652,Weimaraner
8.788501027,Weimaraner
13.80424367,Weimaraner
11.24435318,Weimaraner
11.48243212,Weimaraner
12.04106776,Weimaraner
13.00193931,Weimaraner
15.94539423,Weimaraner
12.15058179,Weimaraner
11.51266256,Weimaraner
10.00238665,Weimaraner
9.366187543,Weimaraner
10.79523158,Weimaraner
13.45916039,Weimaraner
12.71720283,Weimaraner
8.487223363,Weimaraner
6.784394251,Weimaraner
11.99988592,Weimaraner
