Age of Death,Type
13.07859913,West Highland Terrier
9.97387634,West Highland Terrier
16.35580653,West Highland Terrier
9.010152863,West Highland Terrier
14.99235683,West Highland Terrier
11.00204562,West Highland Terrier
11.5563541,West Highland Terrier
11.64122747,West Highland Terrier
13.79603012,West Highland Terrier
14.68024184,West Highland Terrier
14.85010267,West Highland Terrier
16.27093315,West Highland Terrier
13.27572439,West Highland Terrier
16.70898928,West Highland Terrier
9.464636094,West Highland Terrier
0.729692562,West Highland Terrier
9.678188455,West Highland Terrier
11.89596167,West Highland Terrier
14.14362309,West Highland Terrier
14.74058864,West Highland Terrier
16.38454619,West Highland Terrier
16.47627196,West Highland Terrier
16.84861967,West Highland Terrier
13.11419119,West Highland Terrier
13.54688569,West Highland Terrier
14.18754278,West Highland Terrier
16.24914442,West Highland Terrier
14.15731234,West Highland Terrier
16.53650468,West Highland Terrier
14.30515629,West Highland Terrier
14.27230208,West Highland Terrier
14.44752453,West Highland Terrier
9.845197353,West Highland Terrier
9.511179557,West Highland Terrier
12.36128223,West Highland Terrier
16.29009811,West Highland Terrier
15.23054985,West Highland Terrier
13.51129363,West Highland Terrier
14.60497167,West Highland Terrier
15.73169062,West Highland Terrier
12.68708647,West Highland Terrier
17.23191878,West Highland Terrier
17.61795574,West Highland Terrier
12.90896646,West Highland Terrier
13.11966689,West Highland Terrier
14.73237509,West Highland Terrier
12.04095368,West Highland Terrier
13.18275154,West Highland Terrier
13.58783938,West Highland Terrier
0.202486881,West Highland Terrier
14.28872918,West Highland Terrier
7.928701802,West Highland Terrier
14.91033539,West Highland Terrier
15.92334018,West Highland Terrier
13.36607347,West Highland Terrier
15.55920602,West Highland Terrier
13.21001597,West Highland Terrier
12.27093315,West Highland Terrier
13.38250057,West Highland Terrier
