Age of Death,Type
11.80561259,West Highland White Terrier
13.16084873,West Highland White Terrier
10.42014602,West Highland White Terrier
10.73237509,West Highland White Terrier
11.03616245,West Highland White Terrier
11.90953685,West Highland White Terrier
11.99988592,West Highland White Terrier
12.00809948,West Highland White Terrier
12.11213781,West Highland White Terrier
12.20533881,West Highland White Terrier
12.61601643,West Highland White Terrier
13.5523614,West Highland White Terrier
13.62616929,West Highland White Terrier
14.65833904,West Highland White Terrier
15.00068446,West Highland White Terrier
15.27994524,West Highland White Terrier
15.33732603,West Highland White Terrier
11.03616245,West Highland White Terrier
8.243554643,West Highland White Terrier
10.25587497,West Highland White Terrier
10.63917408,West Highland White Terrier
11.16221766,West Highland White Terrier
12.15320557,West Highland White Terrier
12.70910335,West Highland White Terrier
13.66176135,West Highland White Terrier
13.66723705,West Highland White Terrier
13.97399042,West Highland White Terrier
14.06707734,West Highland White Terrier
14.07791467,West Highland White Terrier
14.07791467,West Highland White Terrier
15.46885695,West Highland White Terrier
16.65434634,West Highland White Terrier
8.889687429,West Highland White Terrier
11.77549624,West Highland White Terrier
13.01562856,West Highland White Terrier
5.303216975,West Highland White Terrier
6.655601186,West Highland White Terrier
6.672028291,West Highland White Terrier
7.000570386,West Highland White Terrier
7.216860598,West Highland White Terrier
8.169632672,West Highland White Terrier
8.385922884,West Highland White Terrier
10.13267169,West Highland White Terrier
10.35169975,West Highland White Terrier
11.4715948,West Highland White Terrier
12.82124116,West Highland White Terrier
14.33527264,West Highland White Terrier
15.00068446,West Highland White Terrier
15.37577002,West Highland White Terrier
4.440793977,West Highland White Terrier
9.856148757,West Highland White Terrier
10.81724846,West Highland White Terrier
13.76306183,West Highland White Terrier
14.75975359,West Highland White Terrier
15.41672371,West Highland White Terrier
8.928131417,West Highland White Terrier
12.02464066,West Highland White Terrier
10.01220625,West Highland White Terrier
10.00684463,West Highland White Terrier
8.062970568,West Highland White Terrier
10.88021903,West Highland White Terrier
10.98414328,West Highland White Terrier
11.94524298,West Highland White Terrier
12.15058179,West Highland White Terrier
12.43805613,West Highland White Terrier
13.9028063,West Highland White Terrier
13.91649555,West Highland White Terrier
14.44752453,West Highland White Terrier
15.15936573,West Highland White Terrier
15.32911248,West Highland White Terrier
16.37497148,West Highland White Terrier
16.61327858,West Highland White Terrier
16.98825006,West Highland White Terrier
7.027948893,West Highland White Terrier
8.892539357,West Highland White Terrier
12.54471823,West Highland White Terrier
12.88706366,West Highland White Terrier
15.23887748,West Highland White Terrier
15.34017796,West Highland White Terrier
15.34839151,West Highland White Terrier
15.99441022,West Highland White Terrier
16.09297285,West Highland White Terrier
5.768537531,West Highland White Terrier
9.902806297,West Highland White Terrier
12.2791467,West Highland White Terrier
13.74663473,West Highland White Terrier
13.44832307,West Highland White Terrier
15.79454711,West Highland White Terrier
18.00136893,West Highland White Terrier
8.295687885,West Highland White Terrier
10.21765914,West Highland White Terrier
11.97250742,West Highland White Terrier
13.49760438,West Highland White Terrier
16.16141912,West Highland White Terrier
10.36812685,West Highland White Terrier
10.77344285,West Highland White Terrier
11.29625827,West Highland White Terrier
11.69050878,West Highland White Terrier
12.86504677,West Highland White Terrier
13.40987908,West Highland White Terrier
14.53524983,West Highland White Terrier
16.39413644,West Highland White Terrier
17.54677162,West Highland White Terrier
10.20659366,West Highland White Terrier
10.47501711,West Highland White Terrier
12.92265572,West Highland White Terrier
14.61190965,West Highland White Terrier
10.08898015,West Highland White Terrier
1.620693589,West Highland White Terrier
12.06011864,West Highland White Terrier
12.27640885,West Highland White Terrier
13.11704312,West Highland White Terrier
15.40303445,West Highland White Terrier
16.34759297,West Highland White Terrier
11.32648871,West Highland White Terrier
12.3394935,West Highland White Terrier
15.99988592,West Highland White Terrier
1.35523614,West Highland White Terrier
4.002737851,West Highland White Terrier
15.411248,West Highland White Terrier
0.418777093,West Highland White Terrier
9.598790783,West Highland White Terrier
9.746748802,West Highland White Terrier
10.68856947,West Highland White Terrier
12.09856263,West Highland White Terrier
12.12856491,West Highland White Terrier
12.3559206,West Highland White Terrier
13.71389459,West Highland White Terrier
