Age of Death,Type
13.22370522,X Breed - Medium
8.698037874,X Breed - Medium
14.00136893,X Breed - Medium
11.45779147,X Breed - Medium
14.32443532,X Breed - Medium
15.00057039,X Breed - Medium
15.19233402,X Breed - Medium
17.02110427,X Breed - Medium
11.69324663,X Breed - Medium
12.70362765,X Breed - Medium
6.633812457,X Breed - Medium
8.856947296,X Breed - Medium
13.05954825,X Breed - Medium
14.78975587,X Breed - Medium
10.56536619,X Breed - Medium
16.50912617,X Breed - Medium
17.57141227,X Breed - Medium
10.99794661,X Breed - Medium
13.13335615,X Breed - Medium
7.216974675,X Breed - Medium
