Age of Death,Type
8.739219713,Xbred
9.941022131,Xbred
11.80276067,Xbred
15.5727812,Xbred
16.93634497,Xbred
9.401779603,Xbred
9.565936573,Xbred
11.70978782,Xbred
15.9341775,Xbred
16.13141684,Xbred
10.60095825,Xbred
11.12388775,Xbred
11.85763176,Xbred
15.63848962,Xbred
17.229295,Xbred
17.33048141,Xbred
16.18617385,Xbred
15.19769564,Xbred
11.03616245,Xbred
10.14088524,Xbred
12.57209674,Xbred
11.00330824,Xbred
13.82888433,Xbred
14.06970112,Xbred
11.7343144,Xbred
11.19780972,Xbred
9.858886607,Xbred
10.65560119,Xbred
