Age of Death,Type
11.45231577,Yorkshire Terrier X
2.338010495,Yorkshire Terrier X
3.821925622,Yorkshire Terrier X
8.038329911,Yorkshire Terrier X
15.98631075,Yorkshire Terrier X
17.79591604,Yorkshire Terrier X
11.906799,Yorkshire Terrier X
12.82683094,Yorkshire Terrier X
14.09445585,Yorkshire Terrier X
6.661190965,Yorkshire Terrier X
8.919803787,Yorkshire Terrier X
13.73568332,Yorkshire Terrier X
14.00136893,Yorkshire Terrier X
15.85215606,Yorkshire Terrier X
16.1779603,Yorkshire Terrier X
16.56114533,Yorkshire Terrier X
10.81165868,Yorkshire Terrier X
14.86379192,Yorkshire Terrier X
15.92607803,Yorkshire Terrier X
18.05065024,Yorkshire Terrier X
17.99863107,Yorkshire Terrier X
11.2332877,Yorkshire Terrier X
0.514601871,Yorkshire Terrier X
2.327059092,Yorkshire Terrier X
4.155943418,Yorkshire Terrier X
5.69461556,Yorkshire Terrier X
5.897330595,Yorkshire Terrier X
6.190166553,Yorkshire Terrier X
7.154004107,Yorkshire Terrier X
9.059434178,Yorkshire Terrier X
10.54346338,Yorkshire Terrier X
10.85010267,Yorkshire Terrier X
11.55920602,Yorkshire Terrier X
11.96429386,Yorkshire Terrier X
13.20727812,Yorkshire Terrier X
13.39345197,Yorkshire Terrier X
14.02874743,Yorkshire Terrier X
14.73499886,Yorkshire Terrier X
14.76237737,Yorkshire Terrier X
14.81439653,Yorkshire Terrier X
15.74252795,Yorkshire Terrier X
16.02190281,Yorkshire Terrier X
16.5229295,Yorkshire Terrier X
17.13347023,Yorkshire Terrier X
0.865046772,Yorkshire Terrier X
5.942061278,Yorkshire Terrier X
8.161419119,Yorkshire Terrier X
12.95824778,Yorkshire Terrier X
15.49885923,Yorkshire Terrier X
11.46064339,Yorkshire Terrier X
12.97467488,Yorkshire Terrier X
13.27572439,Yorkshire Terrier X
10.91843486,Yorkshire Terrier X
12.00262377,Yorkshire Terrier X
13.99863107,Yorkshire Terrier X
12.99646361,Yorkshire Terrier X
13.43451974,Yorkshire Terrier X
7.044490075,Yorkshire Terrier X
12.98288843,Yorkshire Terrier X
17.79876797,Yorkshire Terrier X
3.455167693,Yorkshire Terrier X
16.69644545,Yorkshire Terrier X
13.25108373,Yorkshire Terrier X
15.02806297,Yorkshire Terrier X
10.66381474,Yorkshire Terrier X
5.848049281,Yorkshire Terrier X
4.410677618,Yorkshire Terrier X
17.69746749,Yorkshire Terrier X
16.12320329,Yorkshire Terrier X
10.10255533,Yorkshire Terrier X
12.43246635,Yorkshire Terrier X
14.00125485,Yorkshire Terrier X
15.32637463,Yorkshire Terrier X
17.71389459,Yorkshire Terrier X
16.87599817,Yorkshire Terrier X
12.7856491,Yorkshire Terrier X
0.621492129,Yorkshire Terrier X
4.317476614,Yorkshire Terrier X
1.103353867,Yorkshire Terrier X
12.42710472,Yorkshire Terrier X
19.50159708,Yorkshire Terrier X
15.18948209,Yorkshire Terrier X
14.01505818,Yorkshire Terrier X
13.00205339,Yorkshire Terrier X
15.04722793,Yorkshire Terrier X
11.66313028,Yorkshire Terrier X
7.208647045,Yorkshire Terrier X
13.00205339,Yorkshire Terrier X
0.260095825,Yorkshire Terrier X
13.11966689,Yorkshire Terrier X
0.257357974,Yorkshire Terrier X
15.96167009,Yorkshire Terrier X
12.25998175,Yorkshire Terrier X
14.28325348,Yorkshire Terrier X
15.19507187,Yorkshire Terrier X
4.61590235,Yorkshire Terrier X
12.32569017,Yorkshire Terrier X
14.18754278,Yorkshire Terrier X
