Age of Death,Type
13.35512206,crossbreed large
10.03947068,crossbreed large
13.80698152,crossbreed large
13.08133698,crossbreed large
8.082021446,crossbreed large
11.00054643,crossbreed large
11.30184805,crossbreed large
12.48733744,crossbreed large
13.43463381,crossbreed large
14.17921515,crossbreed large
14.91569701,crossbreed large
15.14841433,crossbreed large
12.09297285,crossbreed large
11.60563541,crossbreed large
13.97125257,crossbreed large
13.90269222,crossbreed large
13.58236368,crossbreed large
8.569358887,crossbreed large
16.23534109,crossbreed large
15.68503308,crossbreed large
16.06833219,crossbreed large
16.04095368,crossbreed large
11.6550308,crossbreed large
12.96098563,crossbreed large
15.95060461,crossbreed large
8.848619667,crossbreed large
