Age of Death,Type
7.403148528,crossbreed small
10.67750399,crossbreed small
10.08898015,crossbreed small
13.62069359,crossbreed small
11.73705225,crossbreed small
16.65434634,crossbreed small
14.8718914,crossbreed small
11.53992699,crossbreed small
14.91843486,crossbreed small
10.66107689,crossbreed small
14.75142596,crossbreed small
18.49691992,crossbreed small
14.98140543,crossbreed small
11.87942049,crossbreed small
0.748704084,crossbreed small
7.591946156,crossbreed small
10.90759754,crossbreed small
11.47969427,crossbreed small
11.63848962,crossbreed small
13.60164271,crossbreed small
13.76317591,crossbreed small
13.88352726,crossbreed small
14.04506046,crossbreed small
15.38113164,crossbreed small
16.15331964,crossbreed small
16.39139859,crossbreed small
18.37371663,crossbreed small
20.25188227,crossbreed small
13.83972165,crossbreed small
14.22313484,crossbreed small
13.74389687,crossbreed small
16.02726443,crossbreed small
13.67008898,crossbreed small
12.38603696,crossbreed small
11.60563541,crossbreed small
17.21560575,crossbreed small
14.19575633,crossbreed small
15.7562172,crossbreed small
13.89721652,crossbreed small
15.14190309,crossbreed small
13.92733288,crossbreed small
11.42767511,crossbreed small
8.944444444,crossbreed small
13.36618754,crossbreed small
15.13472507,crossbreed small
13.53867214,crossbreed small
14.44490075,crossbreed small
17.22655715,crossbreed small
15.49075975,crossbreed small
14.40645676,crossbreed small
14.69119325,crossbreed small
