Type, Age of Death
female,58
female,21
female,55
female,19
female,76
female,57
female,51
female,84
female,52
female,66
female,42
female,89
female,45
female,70
female,51
female,56
female,23
female,65
female,24
female,93
female,72
female,67
female,54
female,78
female,3
female,48
female,2
female,93
female,13
female,85
female,68
female,34
female,78
female,73
female,65
female,65
female,79
female,54
female,66
female,14
female,66
female,33
female,9
female,57
female,65
female,71
female,21
female,22
female,81
female,22
female,93
female,33
female,51
female,58
female,46
female,91
female,15
female,94
female,86
female,58
female,0
female,67
female,56
female,72
female,68
female,52
female,72
female,22
female,4
female,45
female,104
female,89
female,22
female,78
female,45
female,72
female,81
female,10
female,90
female,93
female,78
female,73
female,71
female,37
female,88
female,62
female,79
female,86
female,78
female,77
female,82
female,4
female,84
female,48
female,80
female,71
female,79
female,86
female,31
female,61
female,59
female,27
female,33
female,78
female,33
female,90
female,37
female,29
female,83
female,35
female,66
female,82
female,81
female,78
female,78
female,87
female,0
female,75
female,27
female,29
female,74
female,85
female,74
female,77
female,79
female,80
female,83
female,7
female,68
female,47
female,73
female,32
female,72
female,63
female,52
female,11
female,56
female,38
female,65
female,77
female,55
female,69
female,70
female,20
female,73
female,49
female,1
female,1
female,25
female,87
