Age of Death,Type
11.0334246,medium mixed breed
12.02464066,medium mixed breed
12.24081679,medium mixed breed
14.00410678,medium mixed breed
11.99714807,medium mixed breed
16.24081679,medium mixed breed
12.81587953,medium mixed breed
14.39002966,medium mixed breed
10.29968058,medium mixed breed
14.35169975,medium mixed breed
8.68434862,medium mixed breed
12.36128223,medium mixed breed
13.86436231,medium mixed breed
14.17932923,medium mixed breed
12.6131645,medium mixed breed
13.2073922,medium mixed breed
