Age of Death,Type
13.78222679,Cairn Terrier
15.93143965,Cairn Terrier
13.8205567,Cairn Terrier
8.706251426,Cairn Terrier
9.519507187,Cairn Terrier
10.97045403,Cairn Terrier
11.99988592,Cairn Terrier
8.158681269,Cairn Terrier
13.11966689,Cairn Terrier
7.394820899,Cairn Terrier
12.76648414,Cairn Terrier
14.69678303,Cairn Terrier
15.45242984,Cairn Terrier
15.51802418,Cairn Terrier
15.62765229,Cairn Terrier
15.12377367,Cairn Terrier
15.39755875,Cairn Terrier
10.58441707,Cairn Terrier
9.223819302,Cairn Terrier
10.76237737,Cairn Terrier
15.2113849,Cairn Terrier
11.16769336,Cairn Terrier
12.06000456,Cairn Terrier
13.52760666,Cairn Terrier
14.62000913,Cairn Terrier
11.42505133,Cairn Terrier
13.44832307,Cairn Terrier
15.59753593,Cairn Terrier
16.14772987,Cairn Terrier
11.11282227,Cairn Terrier
14.88558065,Cairn Terrier
16.25450605,Cairn Terrier
6.50513347,Cairn Terrier
9.437257586,Cairn Terrier
10.1983801,Cairn Terrier
13.13335615,Cairn Terrier
13.66461328,Cairn Terrier
13.95208761,Cairn Terrier
14.95676477,Cairn Terrier
15.14293863,Cairn Terrier
15.35112936,Cairn Terrier
15.84120465,Cairn Terrier
16.62149213,Cairn Terrier
11.15662788,Cairn Terrier
11.99988592,Cairn Terrier
13.14430755,Cairn Terrier
7.496121378,Cairn Terrier
11.31542323,Cairn Terrier
12.42699065,Cairn Terrier
12.88147388,Cairn Terrier
10.36812685,Cairn Terrier
13.35512206,Cairn Terrier
8.602327173,Cairn Terrier
12.40508784,Cairn Terrier
14.00125485,Cairn Terrier
14.65012548,Cairn Terrier
10.33264887,Cairn Terrier
12.17510837,Cairn Terrier
14.7158339,Cairn Terrier
11.72347707,Cairn Terrier
5.4865389,Cairn Terrier
14.34074835,Cairn Terrier
11.6659822,Cairn Terrier
8.380447182,Cairn Terrier
18.50239562,Cairn Terrier
12.93064111,Cairn Terrier
15.15936573,Cairn Terrier
15.34017796,Cairn Terrier
7.088181611,Cairn Terrier
9.264887064,Cairn Terrier
13.79591604,Cairn Terrier
14.89105635,Cairn Terrier
15.90406115,Cairn Terrier
17.99577915,Cairn Terrier
9.669974903,Cairn Terrier
13.08692676,Cairn Terrier
14.11088296,Cairn Terrier
16.29831166,Cairn Terrier
16.76100844,Cairn Terrier
16.39972621,Cairn Terrier
11.25530459,Cairn Terrier
12.95277207,Cairn Terrier
2.365389003,Cairn Terrier
11.8110883,Cairn Terrier
13.00193931,Cairn Terrier
14.24503765,Cairn Terrier
15.30732375,Cairn Terrier
12.56399726,Cairn Terrier
12.06011864,Cairn Terrier
10.81724846,Cairn Terrier
13.81793292,Cairn Terrier
12.58316222,Cairn Terrier
10.62548483,Cairn Terrier
11.05258955,Cairn Terrier
11.906799,Cairn Terrier
12.79386265,Cairn Terrier
13.93554643,Cairn Terrier
13.91364362,Cairn Terrier
16.10939995,Cairn Terrier
14.00125485,Cairn Terrier
14.19849418,Cairn Terrier
7.216860598,Cairn Terrier
13.59879078,Cairn Terrier
