Age of Death,Type
6.932124116,Cavalier King Charles Spaniel X
8.160220391,Cavalier King Charles Spaniel X
14.00410678,Cavalier King Charles Spaniel X
3.115674196,Cavalier King Charles Spaniel X
4.949920146,Cavalier King Charles Spaniel X
9.231918777,Cavalier King Charles Spaniel X
15.71788729,Cavalier King Charles Spaniel X
12.67624914,Cavalier King Charles Spaniel X
14.32979694,Cavalier King Charles Spaniel X
14.05338809,Cavalier King Charles Spaniel X
16.07392197,Cavalier King Charles Spaniel X
