Age of Death,Type
12.98836413,Chow Chow
1.653547798,Chow Chow
6.765115218,Chow Chow
0.698037874,Chow Chow
0.782911248,Chow Chow
9.721994068,Chow Chow
12.55840748,Chow Chow
12.6186402,Chow Chow
13.14978325,Chow Chow
15.00057039,Chow Chow
2.729637235,Chow Chow
9.601528633,Chow Chow
16.49817477,Chow Chow
9.923492027,Chow Chow
12.43794205,Chow Chow
7.655030801,Chow Chow
2.505019393,Chow Chow
12.42699065,Chow Chow
7.006046087,Chow Chow
1.669974903,Chow Chow
7.427675108,Chow Chow
11.09913301,Chow Chow
8.013689254,Chow Chow
12.00262377,Chow Chow
14.60095825,Chow Chow
