Age of Death,Type
13.17989961,Collie
0.771959845,Collie
2.997946612,Collie
5.919119325,Collie
6.959502624,Collie
7.159479808,Collie
10.00125485,Collie
12.090235,Collie
15.99988592,Collie
9.199064568,Collie
14.45311431,Collie
9.891740817,Collie
13.8424595,Collie
12.84314397,Collie
13.00741501,Collie
13.18263746,Collie
14.66929044,Collie
14.92664841,Collie
14.99794661,Collie
15.00068446,Collie
16.99931554,Collie
17.25393566,Collie
18.12731006,Collie
13.18537531,Collie
19.56194387,Collie
10.93759982,Collie
11.05817933,Collie
11.75906913,Collie
12.84052019,Collie
12.91980379,Collie
13.01015286,Collie
13.28120009,Collie
14.29431896,Collie
15.00057039,Collie
15.00330824,Collie
15.02532512,Collie
15.62480037,Collie
17.14989733,Collie
17.2238193,Collie
12.35033082,Collie
14.02600958,Collie
6.570727812,Collie
10.76237737,Collie
15.77264431,Collie
8.637919233,Collie
10.92128679,Collie
16.72279261,Collie
14.5433493,Collie
13.50034223,Collie
13.91638147,Collie
15.12103582,Collie
16.56399726,Collie
7.460643395,Collie
8.484485512,Collie
12.22176591,Collie
14.77344285,Collie
15.49612138,Collie
17.00193931,Collie
13.01015286,Collie
16.41615332,Collie
13.30321697,Collie
14.47490303,Collie
6.11076888,Collie
14.14636094,Collie
16.98551221,Collie
15.00616016,Collie
11.5727812,Collie
0.52019165,Collie
10.74047456,Collie
1.908167922,Collie
11.1266256,Collie
9.03205567,Collie
11.99988592,Collie
12.56114533,Collie
12.99931554,Collie
15.01984942,Collie
11.48790783,Collie
8.177846224,Collie
12.0,Collie
