Age of Death,Type
8.6954141,Cross Breed - Large
0.703627652,Cross Breed - Large
15.60015971,Cross Breed - Large
15.32089893,Cross Breed - Large
7.01699749,Cross Breed - Large
16.15868127,Cross Breed - Large
3.047113849,Cross Breed - Large
15.12103582,Cross Breed - Large
16.00262377,Cross Breed - Large
11.3155373,Cross Breed - Large
15.59753593,Cross Breed - Large
7.561943874,Cross Breed - Large
12.36128223,Cross Breed - Large
13.59331508,Cross Breed - Large
13.67818846,Cross Breed - Large
13.68366416,Cross Breed - Large
15.01425964,Cross Breed - Large
15.48243212,Cross Breed - Large
17.00205339,Cross Breed - Large
18.00125485,Cross Breed - Large
13.27572439,Cross Breed - Large
13.09502624,Cross Breed - Large
16.3340178,Cross Breed - Large
8.098562628,Cross Breed - Large
8.298311659,Cross Breed - Large
8.791238877,Cross Breed - Large
10.28599133,Cross Breed - Large
10.28610541,Cross Breed - Large
10.30241843,Cross Breed - Large
14.88295688,Cross Breed - Large
14.92664841,Cross Breed - Large
14.98140543,Cross Breed - Large
15.00878394,Cross Breed - Large
15.35101529,Cross Breed - Large
17.00193931,Cross Breed - Large
18.13278576,Cross Breed - Large
14.99783253,Cross Breed - Large
15.68788501,Cross Breed - Large
16.15594342,Cross Breed - Large
3.512548483,Cross Breed - Large
16.28188455,Cross Breed - Large
16.00809948,Cross Breed - Large
13.93292266,Cross Breed - Large
7.767168606,Cross Breed - Large
14.05065024,Cross Breed - Large
7.753593429,Cross Breed - Large
9.130732375,Cross Breed - Large
11.4715948,Cross Breed - Large
11.66313028,Cross Breed - Large
15.7616929,Cross Breed - Large
6.360027379,Cross Breed - Large
11.22507415,Cross Breed - Large
15.11556012,Cross Breed - Large
9.689253936,Cross Breed - Large
10.86094,Cross Breed - Large
15.25519051,Cross Breed - Large
15.30994752,Cross Breed - Large
11.43588866,Cross Breed - Large
14.09434178,Cross Breed - Large
