Age of Death,Type
12.54209446,Cross Breed - Medium
13.9930413,Cross Breed - Medium
17.24572211,Cross Breed - Medium
8.019050878,Cross Breed - Medium
7.835614876,Cross Breed - Medium
15.45516769,Cross Breed - Medium
16.9745608,Cross Breed - Medium
0.854095368,Cross Breed - Medium
1.524868811,Cross Breed - Medium
1.735797399,Cross Breed - Medium
2.149212868,Cross Breed - Medium
3.033538672,Cross Breed - Medium
6.483116587,Cross Breed - Medium
8.40782569,Cross Breed - Medium
9.10323979,Cross Breed - Medium
9.503080082,Cross Breed - Medium
10.30253251,Cross Breed - Medium
13.04300707,Cross Breed - Medium
13.75484828,Cross Breed - Medium
13.11419119,Cross Breed - Medium
13.56319872,Cross Breed - Medium
14.29694273,Cross Breed - Medium
15.87405886,Cross Breed - Medium
16.25462012,Cross Breed - Medium
16.55578371,Cross Breed - Medium
16.58852384,Cross Breed - Medium
10.37360256,Cross Breed - Medium
11.32375086,Cross Breed - Medium
9.409879078,Cross Breed - Medium
12.05464294,Cross Breed - Medium
12.11213781,Cross Breed - Medium
13.8205567,Cross Breed - Medium
14.31895962,Cross Breed - Medium
15.09650924,Cross Breed - Medium
15.46338125,Cross Breed - Medium
15.78907141,Cross Breed - Medium
10.92664841,Cross Breed - Medium
11.47433265,Cross Breed - Medium
11.75085558,Cross Breed - Medium
11.98345882,Cross Breed - Medium
12.74731919,Cross Breed - Medium
12.77754962,Cross Breed - Medium
14.00125485,Cross Breed - Medium
14.34907598,Cross Breed - Medium
14.83641342,Cross Breed - Medium
15.09377139,Cross Breed - Medium
15.42505133,Cross Breed - Medium
15.64670317,Cross Breed - Medium
16.00536162,Cross Breed - Medium
16.3504449,Cross Breed - Medium
17.01289071,Cross Breed - Medium
20.42425279,Cross Breed - Medium
10.57631759,Cross Breed - Medium
12.25735797,Cross Breed - Medium
14.51334702,Cross Breed - Medium
10.46406571,Cross Breed - Medium
11.66860598,Cross Breed - Medium
14.09445585,Cross Breed - Medium
15.83013917,Cross Breed - Medium
8.68708647,Cross Breed - Medium
10.65286334,Cross Breed - Medium
15.00604609,Cross Breed - Medium
8.952657997,Cross Breed - Medium
13.50581793,Cross Breed - Medium
15.39208305,Cross Breed - Medium
14.79249373,Cross Breed - Medium
13.29215149,Cross Breed - Medium
13.38523842,Cross Breed - Medium
15.5727812,Cross Breed - Medium
10.10529318,Cross Breed - Medium
11.60027379,Cross Breed - Medium
11.94239106,Cross Breed - Medium
12.7063655,Cross Breed - Medium
12.86230892,Cross Breed - Medium
12.96919918,Cross Breed - Medium
14.21206936,Cross Breed - Medium
14.23397217,Cross Breed - Medium
15.02521104,Cross Breed - Medium
15.7397901,Cross Breed - Medium
16.11498973,Cross Breed - Medium
13.27036277,Cross Breed - Medium
9.166324435,Cross Breed - Medium
9.45094684,Cross Breed - Medium
9.470111796,Cross Breed - Medium
9.702829112,Cross Breed - Medium
10.46121378,Cross Breed - Medium
10.72404746,Cross Breed - Medium
10.74058864,Cross Breed - Medium
11.02258727,Cross Breed - Medium
11.40851015,Cross Breed - Medium
11.80276067,Cross Breed - Medium
11.99988592,Cross Breed - Medium
12.0,Cross Breed - Medium
12.00273785,Cross Breed - Medium
12.18332193,Cross Breed - Medium
12.29283596,Cross Breed - Medium
12.34211727,Cross Breed - Medium
12.53661875,Cross Breed - Medium
12.66792151,Cross Breed - Medium
12.76922199,Cross Breed - Medium
12.91718001,Cross Breed - Medium
13.00193931,Cross Breed - Medium
13.00205339,Cross Breed - Medium
13.30047912,Cross Breed - Medium
13.30595483,Cross Breed - Medium
13.31679215,Cross Breed - Medium
13.33321926,Cross Breed - Medium
13.3963039,Cross Breed - Medium
13.50022815,Cross Breed - Medium
13.91101985,Cross Breed - Medium
14.00136893,Cross Breed - Medium
14.05886379,Cross Breed - Medium
14.16563997,Cross Breed - Medium
14.22028291,Cross Breed - Medium
14.39561944,Cross Breed - Medium
14.41740817,Cross Breed - Medium
14.43931097,Cross Breed - Medium
14.44478668,Cross Breed - Medium
14.53513575,Cross Breed - Medium
14.57346566,Cross Breed - Medium
14.60095825,Cross Breed - Medium
14.64738763,Cross Breed - Medium
14.64750171,Cross Breed - Medium
14.82261008,Cross Breed - Medium
14.86105407,Cross Breed - Medium
14.99509468,Cross Breed - Medium
15.00057039,Cross Breed - Medium
15.00057039,Cross Breed - Medium
15.04449008,Cross Breed - Medium
15.0608031,Cross Breed - Medium
15.1211499,Cross Breed - Medium
15.26340406,Cross Breed - Medium
15.36744239,Cross Breed - Medium
15.3948209,Cross Breed - Medium
15.42231348,Cross Breed - Medium
15.62765229,Cross Breed - Medium
15.69062286,Cross Breed - Medium
15.75085558,Cross Breed - Medium
15.84382843,Cross Breed - Medium
16.08487337,Cross Breed - Medium
16.18879763,Cross Breed - Medium
16.27652293,Cross Breed - Medium
16.32580424,Cross Breed - Medium
16.50638832,Cross Breed - Medium
17.00193931,Cross Breed - Medium
17.4865389,Cross Breed - Medium
18.00684463,Cross Breed - Medium
12.14225416,Cross Breed - Medium
12.82945471,Cross Breed - Medium
13.00752909,Cross Breed - Medium
13.48939083,Cross Breed - Medium
13.53319644,Cross Breed - Medium
13.74937258,Cross Breed - Medium
14.11909651,Cross Breed - Medium
14.14921287,Cross Breed - Medium
14.46942733,Cross Breed - Medium
14.74332649,Cross Breed - Medium
14.77606662,Cross Breed - Medium
14.96224047,Cross Breed - Medium
15.47695642,Cross Breed - Medium
15.79728496,Cross Breed - Medium
15.84941821,Cross Breed - Medium
15.92596395,Cross Breed - Medium
16.02464066,Cross Breed - Medium
16.20533881,Cross Breed - Medium
16.59685147,Cross Breed - Medium
16.87873603,Cross Breed - Medium
16.90063883,Cross Breed - Medium
17.22918093,Cross Breed - Medium
14.14909879,Cross Breed - Medium
8.259981748,Cross Breed - Medium
9.560460872,Cross Breed - Medium
12.72267853,Cross Breed - Medium
13.10050194,Cross Breed - Medium
10.83903719,Cross Breed - Medium
13.3963039,Cross Breed - Medium
15.02794889,Cross Breed - Medium
16.69815195,Cross Breed - Medium
16.8569473,Cross Breed - Medium
7.074492357,Cross Breed - Medium
0.172256445,Cross Breed - Medium
1.390714123,Cross Breed - Medium
1.505703856,Cross Breed - Medium
2.431097422,Cross Breed - Medium
4.405087839,Cross Breed - Medium
4.583048141,Cross Breed - Medium
4.728154232,Cross Breed - Medium
5.615217887,Cross Breed - Medium
5.880903491,Cross Breed - Medium
6.997946612,Cross Breed - Medium
7.939653206,Cross Breed - Medium
7.997148072,Cross Breed - Medium
8.071070043,Cross Breed - Medium
8.388660735,Cross Breed - Medium
8.465434634,Cross Breed - Medium
8.572210815,Cross Breed - Medium
8.897900981,Cross Breed - Medium
9.60164271,Cross Breed - Medium
9.72746977,Cross Breed - Medium
9.910905772,Cross Breed - Medium
10.00125485,Cross Breed - Medium
10.00125485,Cross Breed - Medium
10.11088296,Cross Breed - Medium
