Age of Death,Type
3.936915355,Cross Breed Large
10.08339037,Cross Breed Large
11.93976728,Cross Breed Large
12.53376683,Cross Breed Large
12.55852156,Cross Breed Large
13.11966689,Cross Breed Large
7.876796715,Cross Breed Large
4.676135067,Cross Breed Large
9.010152863,Cross Breed Large
12.78576318,Cross Breed Large
11.60563541,Cross Breed Large
13.56867442,Cross Breed Large
4.941706594,Cross Breed Large
13.50844171,Cross Breed Large
3.663244353,Cross Breed Large
10.0204198,Cross Breed Large
12.38877481,Cross Breed Large
8.766484143,Cross Breed Large
12.0,Cross Breed Large
9.177275838,Cross Breed Large
11.99988592,Cross Breed Large
14.51870865,Cross Breed Large
16.58316222,Cross Breed Large
1.002053388,Cross Breed Large
9.084074835,Cross Breed Large
10.48037874,Cross Breed Large
10.51323295,Cross Breed Large
11.0608031,Cross Breed Large
11.28268309,Cross Breed Large
11.81097422,Cross Breed Large
11.99988592,Cross Breed Large
12.12582706,Cross Breed Large
12.41341547,Cross Breed Large
12.48174766,Cross Breed Large
12.99931554,Cross Breed Large
13.09776409,Cross Breed Large
13.20465435,Cross Breed Large
13.99863107,Cross Breed Large
14.98414328,Cross Breed Large
15.00057039,Cross Breed Large
0.251768195,Cross Breed Large
12.36413415,Cross Breed Large
15.14841433,Cross Breed Large
8.517339722,Cross Breed Large
1.998516997,Cross Breed Large
2.001140771,Cross Breed Large
4.385922884,Cross Breed Large
5.001939311,Cross Breed Large
8.0,Cross Breed Large
8.605065024,Cross Breed Large
8.6954141,Cross Breed Large
8.881473876,Cross Breed Large
10.29694273,Cross Breed Large
11.00330824,Cross Breed Large
11.00342231,Cross Breed Large
11.14031485,Cross Breed Large
11.67681953,Cross Breed Large
11.74252795,Cross Breed Large
11.9890486,Cross Breed Large
12.61875428,Cross Breed Large
12.65160849,Cross Breed Large
12.85398129,Cross Breed Large
12.85409537,Cross Breed Large
13.08133698,Cross Breed Large
13.11692904,Cross Breed Large
13.13597992,Cross Breed Large
13.56593657,Cross Breed Large
14.00125485,Cross Breed Large
14.16278804,Cross Breed Large
14.19016655,Cross Breed Large
14.26682637,Cross Breed Large
14.5927447,Cross Breed Large
15.37303217,Cross Breed Large
15.44147844,Cross Breed Large
17.24013233,Cross Breed Large
18.00125485,Cross Breed Large
13.45094684,Cross Breed Large
11.00616016,Cross Breed Large
8.739219713,Cross Breed Large
12.81028976,Cross Breed Large
2.921172713,Cross Breed Large
13.33595711,Cross Breed Large
11.7452658,Cross Breed Large
11.91786448,Cross Breed Large
14.21206936,Cross Breed Large
9.55498517,Cross Breed Large
11.3893452,Cross Breed Large
14.73226101,Cross Breed Large
14.4312115,Cross Breed Large
13.27298654,Cross Breed Large
10.63917408,Cross Breed Large
13.87268994,Cross Breed Large
10.13267169,Cross Breed Large
9.73020762,Cross Breed Large
7.800022815,Cross Breed Large
10.00125485,Cross Breed Large
12.90611453,Cross Breed Large
14.31348392,Cross Breed Large
12.04642939,Cross Breed Large
13.82865617,Cross Breed Large
10.08898015,Cross Breed Large
12.87052247,Cross Breed Large
14.21754506,Cross Breed Large
8.539356605,Cross Breed Large
13.74115902,Cross Breed Large
13.29215149,Cross Breed Large
12.78850103,Cross Breed Large
13.67818846,Cross Breed Large
15.95060461,Cross Breed Large
3.528975587,Cross Breed Large
10.0039927,Cross Breed Large
10.63643623,Cross Breed Large
13.85888661,Cross Breed Large
14.00125485,Cross Breed Large
3.403148528,Cross Breed Large
8.999315537,Cross Breed Large
11.00057039,Cross Breed Large
13.39356605,Cross Breed Large
13.85888661,Cross Breed Large
14.1929044,Cross Breed Large
15.57015743,Cross Breed Large
16.04642939,Cross Breed Large
17.53867214,Cross Breed Large
15.97250742,Cross Breed Large
10.05338809,Cross Breed Large
10.23944787,Cross Breed Large
7.663244353,Cross Breed Large
11.14031485,Cross Breed Large
3.980720967,Cross Breed Large
6.381816108,Cross Breed Large
11.54814054,Cross Breed Large
13.20454027,Cross Breed Large
14.95950262,Cross Breed Large
9.911019849,Cross Breed Large
12.7746977,Cross Breed Large
5.418092631,Cross Breed Large
10.82808579,Cross Breed Large
13.00193931,Cross Breed Large
9.735683322,Cross Breed Large
11.82477755,Cross Breed Large
12.41330139,Cross Breed Large
14.5323979,Cross Breed Large
13.57152635,Cross Breed Large
11.81644992,Cross Breed Large
7.723362993,Cross Breed Large
14.37907826,Cross Breed Large
14.39824321,Cross Breed Large
14.91022131,Cross Breed Large
13.42904403,Cross Breed Large
13.54129592,Cross Breed Large
15.53182752,Cross Breed Large
9.308578599,Cross Breed Large
15.26625599,Cross Breed Large
16.0792836,Cross Breed Large
11.00342231,Cross Breed Large
14.81451061,Cross Breed Large
10.49418207,Cross Breed Large
