Age of Death,Type
9.921857175,Cross Breed Small
13.53319644,Cross Breed Small
14.96783025,Cross Breed Small
14.00125485,Cross Breed Small
16.48996121,Cross Breed Small
5.385352498,Cross Breed Small
8.134040611,Cross Breed Small
14.97878166,Cross Breed Small
11.42493726,Cross Breed Small
13.30584075,Cross Breed Small
14.00125485,Cross Breed Small
15.49612138,Cross Breed Small
16.44626968,Cross Breed Small
6.803445129,Cross Breed Small
13.13883185,Cross Breed Small
15.07175451,Cross Breed Small
14.0149441,Cross Breed Small
14.96235455,Cross Breed Small
14.08065252,Cross Breed Small
15.28268309,Cross Breed Small
15.63301392,Cross Breed Small
12.62696783,Cross Breed Small
13.42915811,Cross Breed Small
13.71378052,Cross Breed Small
13.84804928,Cross Breed Small
14.08886607,Cross Breed Small
14.32979694,Cross Breed Small
14.55156286,Cross Breed Small
14.73511294,Cross Breed Small
15.044376,Cross Breed Small
15.34291581,Cross Breed Small
15.8110883,Cross Breed Small
15.9122747,Cross Breed Small
16.01631303,Cross Breed Small
16.18605978,Cross Breed Small
10.31622177,Cross Breed Small
0.167008898,Cross Breed Small
11.00330824,Cross Breed Small
18.0698152,Cross Breed Small
18.11624458,Cross Breed Small
10.06160164,Cross Breed Small
14.09981748,Cross Breed Small
0.008213552,Cross Breed Small
0.175108373,Cross Breed Small
2.110882957,Cross Breed Small
4.971937029,Cross Breed Small
6.242299795,Cross Breed Small
9.374287018,Cross Breed Small
9.601528633,Cross Breed Small
9.69461556,Cross Breed Small
10.66392882,Cross Breed Small
11.15115218,Cross Breed Small
11.55909195,Cross Breed Small
11.69050878,Cross Breed Small
11.96417979,Cross Breed Small
11.99988592,Cross Breed Small
12.7856491,Cross Breed Small
12.83766826,Cross Breed Small
13.21549167,Cross Breed Small
13.22918093,Cross Breed Small
13.28952772,Cross Breed Small
13.39071412,Cross Breed Small
13.63164499,Cross Breed Small
13.76591376,Cross Breed Small
14.85546429,Cross Breed Small
14.89117043,Cross Breed Small
15.04722793,Cross Breed Small
15.51266256,Cross Breed Small
15.74811773,Cross Breed Small
15.76990646,Cross Breed Small
16.16427105,Cross Breed Small
16.85683322,Cross Breed Small
17.17989961,Cross Breed Small
18.1710016,Cross Breed Small
6.444786676,Cross Breed Small
6.313369838,Cross Breed Small
11.57289528,Cross Breed Small
12.01357518,Cross Breed Small
12.52019165,Cross Breed Small
14.46942733,Cross Breed Small
2.001254848,Cross Breed Small
9.105977641,Cross Breed Small
13.71925622,Cross Breed Small
11.54551677,Cross Breed Small
12.54757016,Cross Breed Small
16.89527721,Cross Breed Small
14.0039927,Cross Breed Small
8.005475702,Cross Breed Small
11.2991102,Cross Breed Small
13.25655943,Cross Breed Small
11.49623546,Cross Breed Small
4.97467488,Cross Breed Small
16.06559434,Cross Breed Small
15.09650924,Cross Breed Small
7.594798084,Cross Breed Small
10.33527264,Cross Breed Small
10.64464978,Cross Breed Small
12.69256217,Cross Breed Small
15.14293863,Cross Breed Small
17.67008898,Cross Breed Small
14.85272644,Cross Breed Small
8.643280858,Cross Breed Small
16.54198038,Cross Breed Small
17.02657997,Cross Breed Small
11.27983117,Cross Breed Small
10.81451061,Cross Breed Small
10.42847365,Cross Breed Small
14.92676249,Cross Breed Small
13.01562856,Cross Breed Small
15.5673055,Cross Breed Small
16.97729865,Cross Breed Small
9.828884326,Cross Breed Small
5.03205567,Cross Breed Small
12.14499201,Cross Breed Small
10.34633812,Cross Breed Small
2.110882957,Cross Breed Small
14.954141,Cross Breed Small
8.221651837,Cross Breed Small
11.76443076,Cross Breed Small
17.14442163,Cross Breed Small
14.6036961,Cross Breed Small
13.2073922,Cross Breed Small
14.77332877,Cross Breed Small
8.479123888,Cross Breed Small
13.38797627,Cross Breed Small
15.07460643,Cross Breed Small
1.264772987,Cross Breed Small
2.666666667,Cross Breed Small
2.707620351,Cross Breed Small
15.00604609,Cross Breed Small
12.47912389,Cross Breed Small
14.31895962,Cross Breed Small
14.70499658,Cross Breed Small
14.97045403,Cross Breed Small
16.92527949,Cross Breed Small
18.13814739,Cross Breed Small
12.7801734,Cross Breed Small
1.560460872,Cross Breed Small
13.25667351,Cross Breed Small
10.13826146,Cross Breed Small
12.72553046,Cross Breed Small
14.38193018,Cross Breed Small
14.80355921,Cross Breed Small
15.12924937,Cross Breed Small
12.34485512,Cross Breed Small
13.43178188,Cross Breed Small
6.707620351,Cross Breed Small
13.23465663,Cross Breed Small
14.88558065,Cross Breed Small
3.003308236,Cross Breed Small
13.07038558,Cross Breed Small
14.00125485,Cross Breed Small
15.71252567,Cross Breed Small
16.84588182,Cross Breed Small
15.34839151,Cross Breed Small
11.49064568,Cross Breed Small
15.7343144,Cross Breed Small
12.11772758,Cross Breed Small
