Age of Death,Type
11.98072097,Cross Breed
11.42219941,Cross Breed
14.68571755,Cross Breed
15.09103354,Cross Breed
15.65491672,Cross Breed
16.21891399,Cross Breed
10.91022131,Cross Breed
11.78907141,Cross Breed
17.00467716,Cross Breed
15.78907141,Cross Breed
15.99988592,Cross Breed
15.36481862,Cross Breed
15.77002053,Cross Breed
16.19427333,Cross Breed
13.60974219,Cross Breed
14.61453342,Cross Breed
16.56947296,Cross Breed
12.17522245,Cross Breed
15.36470454,Cross Breed
16.90885238,Cross Breed
7.68788501,Cross Breed
15.05817933,Cross Breed
16.01083733,Cross Breed
13.21013005,Cross Breed
