Age of Death,Type
10.07517682,Crossbreed medium
10.95676477,Crossbreed medium
15.52908966,Crossbreed medium
7.404529178,Crossbreed medium
15.02247319,Crossbreed medium
18.11088296,Crossbreed medium
15.02521104,Crossbreed medium
16.21343828,Crossbreed medium
16.56673511,Crossbreed medium
7.149187105,Crossbreed medium
9.000055834,Crossbreed medium
12.7269126,Crossbreed medium
14.99924576,Crossbreed medium
17.99577915,Crossbreed medium
18.37371663,Crossbreed medium
8.886949578,Crossbreed medium
3.000415716,Crossbreed medium
2.357175451,Crossbreed medium
4.698037874,Crossbreed medium
14.73499886,Crossbreed medium
15.43874059,Crossbreed medium
9.730321697,Crossbreed medium
8.689824321,Crossbreed medium
10.00136893,Crossbreed medium
14.78701802,Crossbreed medium
15.67967146,Crossbreed medium
16.50103395,Crossbreed medium
14.92664841,Crossbreed medium
15.24697696,Crossbreed medium
17.13894593,Crossbreed medium
19.44410221,Crossbreed medium
