Age of Death,Type
10.69678303,Dalmatian
13.49475245,Dalmatian
14.26135067,Dalmatian
13.25644536,Dalmatian
12.62137805,Dalmatian
13.00193931,Dalmatian
3.441478439,Dalmatian
4.328428017,Dalmatian
6.187542779,Dalmatian
9.661875428,Dalmatian
14.181953,Dalmatian
13.10323979,Dalmatian
14.74595026,Dalmatian
4.114989733,Dalmatian
11.37018024,Dalmatian
8.008958476,Dalmatian
10.57072781,Dalmatian
9.407255305,Dalmatian
12.2627196,Dalmatian
10.67488022,Dalmatian
11.5618298,Dalmatian
12.31211499,Dalmatian
13.82340862,Dalmatian
4.002623774,Dalmatian
9.771275382,Dalmatian
9.891740817,Dalmatian
10.0149441,Dalmatian
10.02863336,Dalmatian
10.41467032,Dalmatian
11.4002966,Dalmatian
11.98345882,Dalmatian
12.07665982,Dalmatian
12.52007757,Dalmatian
12.64328086,Dalmatian
12.6844627,Dalmatian
12.73374401,Dalmatian
12.81040383,Dalmatian
12.81314168,Dalmatian
13.22644308,Dalmatian
13.31131645,Dalmatian
13.31953,Dalmatian
14.29158111,Dalmatian
14.37097878,Dalmatian
14.67488022,Dalmatian
15.50707278,Dalmatian
12.43794205,Dalmatian
13.33321926,Dalmatian
13.01015286,Dalmatian
7.679557381,Dalmatian
9.659137577,Dalmatian
10.7816564,Dalmatian
10.89926991,Dalmatian
11.14567648,Dalmatian
11.70967374,Dalmatian
12.1724846,Dalmatian
12.22438969,Dalmatian
12.2572439,Dalmatian
12.29568789,Dalmatian
12.44889345,Dalmatian
12.6899384,Dalmatian
13.00193931,Dalmatian
13.00467716,Dalmatian
13.11692904,Dalmatian
13.27024869,Dalmatian
13.29488935,Dalmatian
13.51939311,Dalmatian
13.70294319,Dalmatian
13.72758385,Dalmatian
13.82340862,Dalmatian
13.87805156,Dalmatian
14.04506046,Dalmatian
14.25039927,Dalmatian
14.79796943,Dalmatian
15.48243212,Dalmatian
16.18617385,Dalmatian
9.03479352,Dalmatian
6.203969884,Dalmatian
11.18138261,Dalmatian
11.87132101,Dalmatian
11.28530687,Dalmatian
13.70009126,Dalmatian
15.0608031,Dalmatian
10.88569473,Dalmatian
14.15742642,Dalmatian
12.58590007,Dalmatian
13.95197353,Dalmatian
11.40041068,Dalmatian
12.12320329,Dalmatian
11.52908966,Dalmatian
12.60495095,Dalmatian
15.411248,Dalmatian
7.783709788,Dalmatian
6.833561488,Dalmatian
12.45984486,Dalmatian
10.98699521,Dalmatian
14.82261008,Dalmatian
6.880104951,Dalmatian
12.27093315,Dalmatian
13.16894821,Dalmatian
11.78644764,Dalmatian
12.03274013,Dalmatian
12.17784622,Dalmatian
12.58042437,Dalmatian
12.77743555,Dalmatian
12.80481405,Dalmatian
14.72678531,Dalmatian
12.93896874,Dalmatian
5.511179557,Dalmatian
13.71651837,Dalmatian
12.00273785,Dalmatian
7.01425964,Dalmatian
12.54483231,Dalmatian
12.13130276,Dalmatian
9.555099247,Dalmatian
9.771275382,Dalmatian
11.0389003,Dalmatian
11.1718515,Dalmatian
12.00262377,Dalmatian
12.07392197,Dalmatian
12.1011864,Dalmatian
14.07802875,Dalmatian
14.17373945,Dalmatian
14.49965777,Dalmatian
15.00342231,Dalmatian
15.45505362,Dalmatian
15.45790554,Dalmatian
2.255989049,Dalmatian
4.027264431,Dalmatian
7.961556012,Dalmatian
10.57631759,Dalmatian
12.62149213,Dalmatian
12.78302533,Dalmatian
13.98208989,Dalmatian
10.01232033,Dalmatian
14.0094684,Dalmatian
7.561829797,Dalmatian
11.18959617,Dalmatian
11.33732603,Dalmatian
11.67955738,Dalmatian
9.144307552,Dalmatian
3.920602327,Dalmatian
10.83903719,Dalmatian
12.33664157,Dalmatian
12.32842802,Dalmatian
0.249144422,Dalmatian
15.78085786,Dalmatian
