Age of Death,Type
2.584531143,Doberman
2.066963267,Doberman
2.07517682,Doberman
3.263404061,Doberman
6.236824093,Doberman
1.702829112,Doberman
6.888318503,Doberman
11.87405886,Doberman
5.987565594,Doberman
4.232717317,Doberman
10.0039927,Doberman
8.703513575,Doberman
12.00821355,Doberman
1.927332877,Doberman
10.99783253,Doberman
12.41056354,Doberman
3.422199407,Doberman
9.563312799,Doberman
9.571526352,Doberman
1.445585216,Doberman
2.535249829,Doberman
3.674081679,Doberman
5.899954369,Doberman
6.116244581,Doberman
6.45847593,Doberman
6.464065708,Doberman
7.534565366,Doberman
7.676933607,Doberman
7.841090577,Doberman
8.317590691,Doberman
8.377709332,Doberman
8.495550992,Doberman
10.49965777,Doberman
12.00262377,Doberman
7.925963952,Doberman
8.016427105,Doberman
9.010152863,Doberman
10.51060917,Doberman
11.00330824,Doberman
12.14499201,Doberman
7.383983573,Doberman
8.183321926,Doberman
0.97467488,Doberman
2.00673055,Doberman
13.10061602,Doberman
9.297513119,Doberman
9.190851015,Doberman
1.516655259,Doberman
10.76785307,Doberman
9.193588866,Doberman
11.63312799,Doberman
10.48311659,Doberman
12.02452658,Doberman
13.53308236,Doberman
12.03821583,Doberman
2.154574492,Doberman
9.738421173,Doberman
3.734428474,Doberman
