Age of Death,Type
4.202600958,English Bull Terrier
9.502966005,English Bull Terrier
11.64134155,English Bull Terrier
0.949920146,English Bull Terrier
1.848049281,English Bull Terrier
2.233972165,English Bull Terrier
3.583732603,English Bull Terrier
3.882158339,English Bull Terrier
4.16415697,English Bull Terrier
4.19701118,English Bull Terrier
10.49418207,English Bull Terrier
9.932808579,English Bull Terrier
10.18754278,English Bull Terrier
4.862422998,English Bull Terrier
8.314738763,English Bull Terrier
6.253251198,English Bull Terrier
7.906798996,English Bull Terrier
10.03958476,English Bull Terrier
10.36276523,English Bull Terrier
10.50787132,English Bull Terrier
11.66872005,English Bull Terrier
13.04026922,English Bull Terrier
15.35922884,English Bull Terrier
4.826716861,English Bull Terrier
10.00114077,English Bull Terrier
10.43931097,English Bull Terrier
10.55156286,English Bull Terrier
10.67214237,English Bull Terrier
11.54277892,English Bull Terrier
12.22997947,English Bull Terrier
15.70967374,English Bull Terrier
13.10050194,English Bull Terrier
9.555099247,English Bull Terrier
7.904061145,English Bull Terrier
8.552931782,English Bull Terrier
9.546771618,English Bull Terrier
10.08898015,English Bull Terrier
10.27777778,English Bull Terrier
10.87462925,English Bull Terrier
11.09392099,English Bull Terrier
11.69062286,English Bull Terrier
11.74252795,English Bull Terrier
11.90406115,English Bull Terrier
12.20522473,English Bull Terrier
12.83493041,English Bull Terrier
13.27310062,English Bull Terrier
13.58521561,English Bull Terrier
13.88352726,English Bull Terrier
14.99813072,English Bull Terrier
17.45916039,English Bull Terrier
13.91649555,English Bull Terrier
6.565366188,English Bull Terrier
8.457221081,English Bull Terrier
9.563198722,English Bull Terrier
10.00125485,English Bull Terrier
10.00125485,English Bull Terrier
6.828085786,English Bull Terrier
8.446269678,English Bull Terrier
9.248345882,English Bull Terrier
12.47900981,English Bull Terrier
10.67202829,English Bull Terrier
5.481177276,English Bull Terrier
9.34690851,English Bull Terrier
13.03216975,English Bull Terrier
9.42642026,English Bull Terrier
4.698037874,English Bull Terrier
6.762491444,English Bull Terrier
7.256761034,English Bull Terrier
9.029317819,English Bull Terrier
5.064909879,English Bull Terrier
13.56046087,English Bull Terrier
10.33812457,English Bull Terrier
11.49612138,English Bull Terrier
10.47764089,English Bull Terrier
14.83903719,English Bull Terrier
8.270933151,English Bull Terrier
12.57221081,English Bull Terrier
5.639972621,English Bull Terrier
11.76728268,English Bull Terrier
12.19701118,English Bull Terrier
12.59685147,English Bull Terrier
12.62970568,English Bull Terrier
13.90269222,English Bull Terrier
13.97399042,English Bull Terrier
5.771389459,English Bull Terrier
8.884211727,English Bull Terrier
12.39961214,English Bull Terrier
1.946497833,English Bull Terrier
13.81781885,English Bull Terrier
12.78850103,English Bull Terrier
12.90611453,English Bull Terrier
12.50091262,English Bull Terrier
1.001939311,English Bull Terrier
2.425735797,English Bull Terrier
12.44353183,English Bull Terrier
13.39356605,English Bull Terrier
10.59263062,English Bull Terrier
6.009468401,English Bull Terrier
13.3798768,English Bull Terrier
7.463267169,English Bull Terrier
9.281200091,English Bull Terrier
11.39755875,English Bull Terrier
15.47433265,English Bull Terrier
11.36481862,English Bull Terrier
