Age of Death,Type
14.79534565,English Setter
11.26614191,English Setter
11.57837098,English Setter
0.90349076,English Setter
9.968514716,English Setter
12.36128223,English Setter
13.03205567,English Setter
14.77344285,English Setter
7.849418207,English Setter
7.999885923,English Setter
10.42562172,English Setter
11.76716861,English Setter
12.07392197,English Setter
13.42083048,English Setter
11.86858316,English Setter
11.50981063,English Setter
15.17590691,English Setter
12.4406799,English Setter
12.47627196,English Setter
16.04369154,English Setter
4.588523842,English Setter
10.42014602,English Setter
13.36618754,English Setter
