Age of Death,Type
13.28667579,English Staffordshire Bull Terrier
14.07791467,English Staffordshire Bull Terrier
10.45859001,English Staffordshire Bull Terrier
12.70351358,English Staffordshire Bull Terrier
13.00467716,English Staffordshire Bull Terrier
18.0039927,English Staffordshire Bull Terrier
7.74800365,English Staffordshire Bull Terrier
0.665297741,English Staffordshire Bull Terrier
1.001939311,English Staffordshire Bull Terrier
1.325005704,English Staffordshire Bull Terrier
1.63449692,English Staffordshire Bull Terrier
2.505019393,English Staffordshire Bull Terrier
3.309947525,English Staffordshire Bull Terrier
3.408510153,English Staffordshire Bull Terrier
4.123089208,English Staffordshire Bull Terrier
4.492699065,English Staffordshire Bull Terrier
5.001939311,English Staffordshire Bull Terrier
5.001939311,English Staffordshire Bull Terrier
5.272986539,English Staffordshire Bull Terrier
6.001140771,English Staffordshire Bull Terrier
6.195642254,English Staffordshire Bull Terrier
6.617271275,English Staffordshire Bull Terrier
6.819986311,English Staffordshire Bull Terrier
7.000570386,English Staffordshire Bull Terrier
7.000570386,English Staffordshire Bull Terrier
7.0498517,English Staffordshire Bull Terrier
7.509924709,English Staffordshire Bull Terrier
7.761806982,English Staffordshire Bull Terrier
7.967031713,English Staffordshire Bull Terrier
10.00125485,English Staffordshire Bull Terrier
11.00068446,English Staffordshire Bull Terrier
11.5563541,English Staffordshire Bull Terrier
12.00273785,English Staffordshire Bull Terrier
13.00479124,English Staffordshire Bull Terrier
7.003422313,English Staffordshire Bull Terrier
12.89242528,English Staffordshire Bull Terrier
13.39618982,English Staffordshire Bull Terrier
13.54677162,English Staffordshire Bull Terrier
17.00193931,English Staffordshire Bull Terrier
12.26009582,English Staffordshire Bull Terrier
13.08966461,English Staffordshire Bull Terrier
0.75553274,English Staffordshire Bull Terrier
14.35181383,English Staffordshire Bull Terrier
17.00205339,English Staffordshire Bull Terrier
12.50102669,English Staffordshire Bull Terrier
14.00125485,English Staffordshire Bull Terrier
6.447638604,English Staffordshire Bull Terrier
9.001939311,English Staffordshire Bull Terrier
9.585101529,English Staffordshire Bull Terrier
11.04711385,English Staffordshire Bull Terrier
12.17522245,English Staffordshire Bull Terrier
10.00125485,English Staffordshire Bull Terrier
11.51528633,English Staffordshire Bull Terrier
12.19438741,English Staffordshire Bull Terrier
