Age of Death,Type
15.42505133,German Shephard X
1.612594114,German Shephard X
3.290782569,German Shephard X
3.682295232,German Shephard X
9.116929044,German Shephard X
13.229295,German Shephard X
13.04026922,German Shephard X
13.51391741,German Shephard X
14.00125485,German Shephard X
14.03684691,German Shephard X
6.932124116,German Shephard X
7.356605065,German Shephard X
12.75005704,German Shephard X
10.92676249,German Shephard X
7.893223819,German Shephard X
4.19974903,German Shephard X
5.62343144,German Shephard X
15.18126854,German Shephard X
13.89721652,German Shephard X
8.287360256,German Shephard X
5.341546886,German Shephard X
13.01836642,German Shephard X
12.70351358,German Shephard X
