Age of Death,Type
12.41615332,German Shepherd Dog
8.867784622,German Shepherd Dog
7.931439653,German Shepherd Dog
5.527492585,German Shepherd Dog
7.006046087,German Shepherd Dog
7.208647045,German Shepherd Dog
12.31759069,German Shepherd Dog
13.08681269,German Shepherd Dog
14.00125485,German Shepherd Dog
14.65012548,German Shepherd Dog
12.05738079,German Shepherd Dog
7.249828884,German Shepherd Dog
11.07996806,German Shepherd Dog
11.86036961,German Shepherd Dog
12.34759297,German Shepherd Dog
13.80960529,German Shepherd Dog
13.81770477,German Shepherd Dog
14.06422542,German Shepherd Dog
14.07517682,German Shepherd Dog
8.005361624,German Shepherd Dog
8.747319188,German Shepherd Dog
9.108829569,German Shepherd Dog
7.309947525,German Shepherd Dog
7.591946156,German Shepherd Dog
13.84257358,German Shepherd Dog
11.01973534,German Shepherd Dog
12.94455852,German Shepherd Dog
11.30184805,German Shepherd Dog
11.41398585,German Shepherd Dog
7.1321013,German Shepherd Dog
12.30663929,German Shepherd Dog
10.78975587,German Shepherd Dog
12.02464066,German Shepherd Dog
14.37919233,German Shepherd Dog
2.036846909,German Shepherd Dog
11.14841433,German Shepherd Dog
9.021104266,German Shepherd Dog
10.97330595,German Shepherd Dog
13.85352498,German Shepherd Dog
12.38866073,German Shepherd Dog
9.341432809,German Shepherd Dog
5.853524983,German Shepherd Dog
7.81644992,German Shepherd Dog
12.61875428,German Shepherd Dog
6.343486197,German Shepherd Dog
9.72746977,German Shepherd Dog
11.24161533,German Shepherd Dog
13.00205339,German Shepherd Dog
10.11898243,German Shepherd Dog
2.444786676,German Shepherd Dog
11.62491444,German Shepherd Dog
9.749486653,German Shepherd Dog
8.479123888,German Shepherd Dog
14.33538672,German Shepherd Dog
13.2073922,German Shepherd Dog
12.30104951,German Shepherd Dog
11.29352042,German Shepherd Dog
1.930070728,German Shepherd Dog
6.715947981,German Shepherd Dog
12.01916496,German Shepherd Dog
6.590006845,German Shepherd Dog
13.06217203,German Shepherd Dog
5.144307552,German Shepherd Dog
