Age of Death,Type
10.58453114,German Shepherd
11.56194387,German Shepherd
1.377024869,German Shepherd
6.181953,German Shepherd
6.995094684,German Shepherd
8.123203285,German Shepherd
8.210700433,German Shepherd
9.284052019,German Shepherd
10.49680584,German Shepherd
10.53798768,German Shepherd
10.60905772,German Shepherd
11.99795368,German Shepherd
12.10403833,German Shepherd
12.3449692,German Shepherd
13.22370522,German Shepherd
11.11829797,German Shepherd
9.338694958,German Shepherd
9.911019849,German Shepherd
11.08555784,German Shepherd
0.618754278,German Shepherd
0.832306639,German Shepherd
1.226557153,German Shepherd
1.289527721,German Shepherd
1.404517454,German Shepherd
1.492014602,German Shepherd
1.587953457,German Shepherd
1.86983801,German Shepherd
1.998631075,German Shepherd
2.001254848,German Shepherd
2.001368925,German Shepherd
2.21754506,German Shepherd
2.329796943,German Shepherd
2.510495095,German Shepherd
2.510495095,German Shepherd
2.822724162,German Shepherd
2.924024641,German Shepherd
2.964978325,German Shepherd
3.000570386,German Shepherd
3.701574264,German Shepherd
3.715263518,German Shepherd
3.983458818,German Shepherd
4.698037874,German Shepherd
4.889687429,German Shepherd
5.924709103,German Shepherd
6.014944102,German Shepherd
6.417408168,German Shepherd
6.636550308,German Shepherd
6.735112936,German Shepherd
8.052019165,German Shepherd
8.689824321,German Shepherd
8.763746292,German Shepherd
8.930869268,German Shepherd
9.102154822,German Shepherd
9.168948209,German Shepherd
9.262035136,German Shepherd
9.527720739,German Shepherd
9.587839379,German Shepherd
9.73020762,German Shepherd
10.21754506,German Shepherd
11.63301392,German Shepherd
7.203171344,German Shepherd
2.116244581,German Shepherd
5.199064568,German Shepherd
9.574264203,German Shepherd
11.00068446,German Shepherd
6.305270363,German Shepherd
4.347592973,German Shepherd
10.20670773,German Shepherd
11.4934976,German Shepherd
11.32089893,German Shepherd
7.356490988,German Shepherd
7.589322382,German Shepherd
7.704198038,German Shepherd
9.999654125,German Shepherd
10.00125485,German Shepherd
10.69404517,German Shepherd
11.45790554,German Shepherd
12.44353183,German Shepherd
14.99794661,German Shepherd
11.79454711,German Shepherd
4.41615332,German Shepherd
8.583048141,German Shepherd
8.637919233,German Shepherd
10.40930869,German Shepherd
8.553045859,German Shepherd
8.676249144,German Shepherd
8.703513575,German Shepherd
8.988250057,German Shepherd
9.492014602,German Shepherd
9.891740817,German Shepherd
11.09091946,German Shepherd
11.49064568,German Shepherd
12.61590235,German Shepherd
12.63506731,German Shepherd
13.00193931,German Shepherd
14.24766142,German Shepherd
14.63369838,German Shepherd
0.958247775,German Shepherd
5.270362765,German Shepherd
7.060803103,German Shepherd
8.298425736,German Shepherd
11.18400639,German Shepherd
1.160848734,German Shepherd
9.557837098,German Shepherd
9.878051563,German Shepherd
9.141569701,German Shepherd
9.771275382,German Shepherd
9.86983801,German Shepherd
10.00040177,German Shepherd
12.76100844,German Shepherd
12.76374629,German Shepherd
10.34360027,German Shepherd
12.53102898,German Shepherd
8.777549624,German Shepherd
11.37839379,German Shepherd
12.54209446,German Shepherd
14.18480493,German Shepherd
11.27446954,German Shepherd
12.31211499,German Shepherd
12.38877481,German Shepherd
7.644079398,German Shepherd
7.841090577,German Shepherd
7.999885923,German Shepherd
8.082135524,German Shepherd
10.99794661,German Shepherd
7.567305499,German Shepherd
7.712525667,German Shepherd
8.040953685,German Shepherd
8.771959845,German Shepherd
9.344284736,German Shepherd
9.481177276,German Shepherd
9.861738535,German Shepherd
11.39767283,German Shepherd
11.43326489,German Shepherd
12.6186402,German Shepherd
13.35785991,German Shepherd
4.588637919,German Shepherd
10.16826375,German Shepherd
10.43458742,German Shepherd
10.72689938,German Shepherd
13.88364134,German Shepherd
5.522130961,German Shepherd
6.195642254,German Shepherd
7.531599361,German Shepherd
7.862993384,German Shepherd
7.893109742,German Shepherd
8.006201834,German Shepherd
8.2681953,German Shepherd
8.312000913,German Shepherd
8.377709332,German Shepherd
8.48733744,German Shepherd
8.509126169,German Shepherd
8.698151951,German Shepherd
9.048596851,German Shepherd
9.081451061,German Shepherd
9.126345761,German Shepherd
9.32238193,German Shepherd
9.393451974,German Shepherd
9.648072097,German Shepherd
9.691991786,German Shepherd
9.735683322,German Shepherd
9.779488935,German Shepherd
9.784964636,German Shepherd
9.790554415,German Shepherd
9.83424595,German Shepherd
9.867214237,German Shepherd
9.930184805,German Shepherd
9.968400639,German Shepherd
9.982089893,German Shepherd
10.00125485,German Shepherd
10.00125485,German Shepherd
10.04232261,German Shepherd
10.17921515,German Shepherd
10.30515629,German Shepherd
10.42014602,German Shepherd
10.43931097,German Shepherd
10.44490075,German Shepherd
10.63643623,German Shepherd
10.65560119,German Shepherd
10.72678531,German Shepherd
10.8571495,German Shepherd
10.86094,German Shepherd
10.96771618,German Shepherd
10.98973306,German Shepherd
11.01414556,German Shepherd
11.04722793,German Shepherd
11.13472507,German Shepherd
11.18400639,German Shepherd
11.29899612,German Shepherd
11.37018024,German Shepherd
11.41957563,German Shepherd
11.44136436,German Shepherd
11.52087611,German Shepherd
11.5673055,German Shepherd
11.58658453,German Shepherd
11.60837326,German Shepherd
11.63848962,German Shepherd
11.78085786,German Shepherd
11.78097194,German Shepherd
11.80561259,German Shepherd
11.81918777,German Shepherd
11.82192562,German Shepherd
11.84656628,German Shepherd
11.87953457,German Shepherd
11.97250742,German Shepherd
11.99988592,German Shepherd
12.00273785,German Shepherd
12.00273785,German Shepherd
12.0054757,German Shepherd
12.0054757,German Shepherd
12.01083733,German Shepherd
12.03285421,German Shepherd
12.10928588,German Shepherd
12.18332193,German Shepherd
