Age of Death,Type
10.98414328,Golden Retriever
11.78085786,Golden Retriever
12.16427105,Golden Retriever
12.38877481,Golden Retriever
12.93908282,Golden Retriever
13.20454027,Golden Retriever
13.25667351,Golden Retriever
13.83972165,Golden Retriever
14.11076888,Golden Retriever
14.93486197,Golden Retriever
12.01083733,Golden Retriever
12.62696783,Golden Retriever
3.099133014,Golden Retriever
3.871321013,Golden Retriever
10.70214465,Golden Retriever
15.00342231,Golden Retriever
2.496805841,Golden Retriever
9.648186174,Golden Retriever
12.27104723,Golden Retriever
13.13073238,Golden Retriever
15.24150125,Golden Retriever
15.73705225,Golden Retriever
13.35249829,Golden Retriever
11.61932466,Golden Retriever
5.952087611,Golden Retriever
10.66655259,Golden Retriever
12.4516313,Golden Retriever
13.00467716,Golden Retriever
10.49680584,Golden Retriever
12.64887064,Golden Retriever
14.57894136,Golden Retriever
11.80823637,Golden Retriever
11.76454483,Golden Retriever
2.978667579,Golden Retriever
10.63096053,Golden Retriever
10.96771618,Golden Retriever
11.88763404,Golden Retriever
13.34690851,Golden Retriever
11.26078029,Golden Retriever
11.00068446,Golden Retriever
14.92391056,Golden Retriever
9.875313712,Golden Retriever
11.79717089,Golden Retriever
12.03547798,Golden Retriever
13.60711841,Golden Retriever
13.71651837,Golden Retriever
14.54061145,Golden Retriever
10.08886607,Golden Retriever
10.50228154,Golden Retriever
10.55156286,Golden Retriever
13.20727812,Golden Retriever
13.4974903,Golden Retriever
13.53582021,Golden Retriever
13.60974219,Golden Retriever
15.50981063,Golden Retriever
8.166894821,Golden Retriever
8.191649555,Golden Retriever
10.09707963,Golden Retriever
10.6939311,Golden Retriever
12.48186174,Golden Retriever
13.61521789,Golden Retriever
15.33732603,Golden Retriever
4.388774812,Golden Retriever
7.923226101,Golden Retriever
8.862308921,Golden Retriever
9.730321697,Golden Retriever
10.26956423,Golden Retriever
10.56525211,Golden Retriever
10.61179557,Golden Retriever
10.73499886,Golden Retriever
10.77344285,Golden Retriever
10.85546429,Golden Retriever
10.90485969,Golden Retriever
11.02806297,Golden Retriever
11.0498517,Golden Retriever
11.34816336,Golden Retriever
11.38672142,Golden Retriever
11.51813826,Golden Retriever
11.5837326,Golden Retriever
11.84919005,Golden Retriever
11.88215834,Golden Retriever
11.93965321,Golden Retriever
12.00262377,Golden Retriever
12.14499201,Golden Retriever
12.22712754,Golden Retriever
12.22986539,Golden Retriever
12.32854209,Golden Retriever
12.39139859,Golden Retriever
12.4406799,Golden Retriever
12.49817477,Golden Retriever
12.58863792,Golden Retriever
12.58863792,Golden Retriever
12.69815195,Golden Retriever
12.77754962,Golden Retriever
12.81576546,Golden Retriever
12.92801734,Golden Retriever
12.99931554,Golden Retriever
13.01026694,Golden Retriever
13.19632672,Golden Retriever
13.22096737,Golden Retriever
13.23191878,Golden Retriever
13.29500342,Golden Retriever
13.31143053,Golden Retriever
13.63175907,Golden Retriever
13.67556468,Golden Retriever
13.70294319,Golden Retriever
13.70556696,Golden Retriever
13.75211043,Golden Retriever
13.7522245,Golden Retriever
13.78781656,Golden Retriever
13.84531143,Golden Retriever
13.86995209,Golden Retriever
13.87805156,Golden Retriever
13.95459731,Golden Retriever
14.00125485,Golden Retriever
14.05065024,Golden Retriever
14.11635866,Golden Retriever
14.30527036,Golden Retriever
14.39824321,Golden Retriever
14.62286105,Golden Retriever
14.71594798,Golden Retriever
14.76511522,Golden Retriever
15.05270363,Golden Retriever
15.09091946,Golden Retriever
15.12924937,Golden Retriever
15.15115218,Golden Retriever
15.23602555,Golden Retriever
15.33185033,Golden Retriever
15.48243212,Golden Retriever
15.60301164,Golden Retriever
15.74264203,Golden Retriever
16.39687429,Golden Retriever
16.58852384,Golden Retriever
9.456422542,Golden Retriever
9.905430071,Golden Retriever
9.83424595,Golden Retriever
13.51391741,Golden Retriever
15.15947981,Golden Retriever
12.30390144,Golden Retriever
14.24492357,Golden Retriever
11.85763176,Golden Retriever
14.99509468,Golden Retriever
15.31827515,Golden Retriever
2.001254848,Golden Retriever
4.251768195,Golden Retriever
6.518708647,Golden Retriever
7.548140543,Golden Retriever
7.704198038,Golden Retriever
7.882272416,Golden Retriever
7.999885923,Golden Retriever
8.021902806,Golden Retriever
8.035477983,Golden Retriever
8.596851472,Golden Retriever
9.20727812,Golden Retriever
9.664613279,Golden Retriever
9.979352042,Golden Retriever
10.00958248,Golden Retriever
10.08898015,Golden Retriever
10.40098106,Golden Retriever
11.06639288,Golden Retriever
11.14020078,Golden Retriever
11.18412047,Golden Retriever
11.29352042,Golden Retriever
11.44410221,Golden Retriever
11.49897331,Golden Retriever
11.52087611,Golden Retriever
11.52361396,Golden Retriever
11.53730322,Golden Retriever
11.64122747,Golden Retriever
11.66313028,Golden Retriever
11.70431211,Golden Retriever
11.75347935,Golden Retriever
11.75895505,Golden Retriever
11.79884649,Golden Retriever
11.84930413,Golden Retriever
11.91501255,Golden Retriever
11.99988592,Golden Retriever
12.01368925,Golden Retriever
12.17784622,Golden Retriever
12.44079398,Golden Retriever
12.69803787,Golden Retriever
12.70351358,Golden Retriever
12.70898928,Golden Retriever
12.76112252,Golden Retriever
