Age of Death,Type
2.228610541,Hungarian Vizsla
2.50513347,Hungarian Vizsla
5.73853525,Hungarian Vizsla
10.16826375,Hungarian Vizsla
7.091033539,Hungarian Vizsla
9.69461556,Hungarian Vizsla
14.66666667,Hungarian Vizsla
13.36881132,Hungarian Vizsla
14.05053616,Hungarian Vizsla
15.30447182,Hungarian Vizsla
5.442733288,Hungarian Vizsla
9.434519735,Hungarian Vizsla
10.62286105,Hungarian Vizsla
12.47627196,Hungarian Vizsla
13.4865389,Hungarian Vizsla
13.95197353,Hungarian Vizsla
14.69678303,Hungarian Vizsla
10.62833676,Hungarian Vizsla
11.72347707,Hungarian Vizsla
15.01425964,Hungarian Vizsla
7.082705909,Hungarian Vizsla
11.26351814,Hungarian Vizsla
10.30515629,Hungarian Vizsla
10.57631759,Hungarian Vizsla
11.22792608,Hungarian Vizsla
8.322952316,Hungarian Vizsla
12.02178873,Hungarian Vizsla
15.4825462,Hungarian Vizsla
10.92117271,Hungarian Vizsla
11.03353867,Hungarian Vizsla
10.57894136,Hungarian Vizsla
12.27652293,Hungarian Vizsla
12.93349304,Hungarian Vizsla
13.35238421,Hungarian Vizsla
14.38455396,Hungarian Vizsla
12.00536162,Hungarian Vizsla
10.99583064,Hungarian Vizsla
12.68708647,Hungarian Vizsla
12.6954141,Hungarian Vizsla
14.1026694,Hungarian Vizsla
14.95128907,Hungarian Vizsla
11.07186858,Hungarian Vizsla
