Age of Death,Type
11.87942049,Husky
15.03616245,Husky
5.106091718,Husky
7.003422313,Husky
7.246976956,Husky
9.442847365,Husky
11.27557625,Husky
13.63997262,Husky
14.65833904,Husky
7.508331305,Husky
10.18469085,Husky
10.83641342,Husky
12.16427105,Husky
13.24572211,Husky
13.37166324,Husky
9.264887064,Husky
12.18058407,Husky
0.167008898,Husky
0.604950947,Husky
2.034109058,Husky
2.258612822,Husky
6.006844627,Husky
7.052703628,Husky
7.12103582,Husky
12.0792836,Husky
12.70362765,Husky
0.668035592,Husky
10.38181611,Husky
16.46817248,Husky
15.96429386,Husky
6.540611453,Husky
13.99909667,Husky
10.73773671,Husky
6.255989049,Husky
10.42847365,Husky
8.049281314,Husky
13.66723705,Husky
15.12651152,Husky
10.83915127,Husky
14.00136893,Husky
12.82135524,Husky
1.456536619,Husky
2.173739448,Husky
8.837782341,Husky
5.001939311,Husky
14.00673055,Husky
9.968514716,Husky
9.086926762,Husky
12.05464294,Husky
1.426306183,Husky
7.008898015,Husky
9.10323979,Husky
11.99988592,Husky
9.675450605,Husky
7.411248004,Husky
12.57483459,Husky
13.1415697,Husky
10.27230208,Husky
7.000570386,Husky
9.70568104,Husky
11.85204198,Husky
1.015628565,Husky
6.899269906,Husky
9.590691307,Husky
11.00057039,Husky
11.02794889,Husky
12.26009582,Husky
13.19370294,Husky
14.00125485,Husky
15.61111111,Husky
4.180698152,Husky
13.22644308,Husky
9.229295003,Husky
7.422313484,Husky
11.85215606,Husky
0.177846224,Husky
1.456422542,Husky
2.776180698,Husky
3.416723705,Husky
3.901437372,Husky
6.360027379,Husky
8.673397217,Husky
9.711042665,Husky
10.48037874,Husky
10.5269222,Husky
10.81165868,Husky
11.5892083,Husky
11.67967146,Husky
11.68503308,Husky
11.99988592,Husky
12.39698836,Husky
13.51117956,Husky
13.75211043,Husky
14.02053388,Husky
15.0608031,Husky
13.68913986,Husky
3.066278804,Husky
4.572096737,Husky
17.00193931,Husky
12.35033082,Husky
10.26956423,Husky
10.22039699,Husky
7.999885923,Husky
7.624800365,Husky
6.36550308,Husky
13.97113849,Husky
13.97399042,Husky
4.826830938,Husky
8.881473876,Husky
9.924595026,Husky
5.368811316,Husky
5.604266484,Husky
10.57631759,Husky
7.104608715,Husky
12.54757016,Husky
7.26066621,Husky
10.02053388,Husky
10.47775496,Husky
11.3100616,Husky
13.09502624,Husky
9.53045859,Husky
10.43931097,Husky
10.51049509,Husky
10.80618298,Husky
10.57620351,Husky
11.9835729,Husky
12.07380789,Husky
12.8569473,Husky
1.875313712,Husky
12.98825006,Husky
13.76043806,Husky
14.35169975,Husky
8.646132786,Husky
9.90269222,Husky
13.85078713,Husky
1.650809948,Husky
6.058863792,Husky
1.100501939,Husky
4.076659822,Husky
9.089664613,Husky
10.01505818,Husky
7.945242984,Husky
9.023956194,Husky
3.000570386,Husky
13.1306183,Husky
12.33390372,Husky
11.59479808,Husky
11.52635181,Husky
13.37713895,Husky
12.62685375,Husky
6.630960529,Husky
10.18469085,Husky
