Age of Death,Type
10.80903491,Irish Setter
6.017681953,Irish Setter
8.955395848,Irish Setter
10.01220625,Irish Setter
12.34211727,Irish Setter
12.87052247,Irish Setter
13.4755875,Irish Setter
14.88010495,Irish Setter
3.4770705,Irish Setter
10.36265115,Irish Setter
11.53456537,Irish Setter
12.09034908,Irish Setter
12.41341547,Irish Setter
12.58042437,Irish Setter
13.16073466,Irish Setter
13.41261693,Irish Setter
9.916381474,Irish Setter
9.596052932,Irish Setter
14.00125485,Irish Setter
14.29420488,Irish Setter
13.63175907,Irish Setter
13.67556468,Irish Setter
3.969769564,Irish Setter
14.88021903,Irish Setter
7.268879763,Irish Setter
12.60232717,Irish Setter
10.2642026,Irish Setter
12.76100844,Irish Setter
11.7452658,Irish Setter
4.103924253,Irish Setter
9.853410906,Irish Setter
11.61396304,Irish Setter
9.836983801,Irish Setter
9.549623546,Irish Setter
11.17864476,Irish Setter
11.57563313,Irish Setter
