Age of Death,Type
11.61122519,Irish Terrier
12.37234771,Irish Terrier
12.15058179,Irish Terrier
10.36002738,Irish Terrier
13.4865389,Irish Terrier
12.41330139,Irish Terrier
12.91432809,Irish Terrier
14.07232489,Irish Terrier
10.77891855,Irish Terrier
10.97319188,Irish Terrier
14.05612594,Irish Terrier
11.14841433,Irish Terrier
13.62628337,Irish Terrier
9.826146475,Irish Terrier
13.6699749,Irish Terrier
11.70146019,Irish Terrier
11.69598449,Irish Terrier
11.35649099,Irish Terrier
10.53251198,Irish Terrier
13.09776409,Irish Terrier
14.80892083,Irish Terrier
