Age of Death,Type
10.48859229,Jack Russel Cros Yorkie
11.05817933,Jack Russel Cros Yorkie
10.84736482,Jack Russel Cros Yorkie
14.54072553,Jack Russel Cros Yorkie
11.99988592,Jack Russel Cros Yorkie
13.86983801,Jack Russel Cros Yorkie
10.48311659,Jack Russel Cros Yorkie
11.61932466,Jack Russel Cros Yorkie
11.79192334,Jack Russel Cros Yorkie
11.85215606,Jack Russel Cros Yorkie
12.11761351,Jack Russel Cros Yorkie
9.026579968,Jack Russel Cros Yorkie
9.396189824,Jack Russel Cros Yorkie
11.48516997,Jack Russel Cros Yorkie
11.15936573,Jack Russel Cros Yorkie
15.02806297,Jack Russel Cros Yorkie
12.678987,Jack Russel Cros Yorkie
12.2846224,Jack Russel Cros Yorkie
11.14293863,Jack Russel Cros Yorkie
13.57152635,Jack Russel Cros Yorkie
0.164271047,Jack Russel Cros Yorkie
11.90406115,Jack Russel Cros Yorkie
12.02464066,Jack Russel Cros Yorkie
14.89390828,Jack Russel Cros Yorkie
14.89653206,Jack Russel Cros Yorkie
10.88569473,Jack Russel Cros Yorkie
11.38660735,Jack Russel Cros Yorkie
