Age of Death,Type
1.012890714,Jack Russsell
2.600844171,Jack Russsell
8.503650468,Jack Russsell
16.44889345,Jack Russsell
11.9890486,Jack Russsell
4.572210815,Jack Russsell
16.0,Jack Russsell
6.986881132,Jack Russsell
10.15183664,Jack Russsell
12.51733972,Jack Russsell
13.62902122,Jack Russsell
5.815080995,Jack Russsell
8.0,Jack Russsell
9.344170659,Jack Russsell
17.08966461,Jack Russsell
18.00125485,Jack Russsell
15.00068446,Jack Russsell
6.113506731,Jack Russsell
7.282569017,Jack Russsell
1.374287018,Jack Russsell
7.841204654,Jack Russsell
9.371663244,Jack Russsell
11.27994524,Jack Russsell
14.6036961,Jack Russsell
13.81234314,Jack Russsell
15.15400411,Jack Russsell
13.96566279,Jack Russsell
15.99988592,Jack Russsell
14.21480721,Jack Russsell
10.08612822,Jack Russsell
11.89584759,Jack Russsell
15.33732603,Jack Russsell
11.321013,Jack Russsell
12.76100844,Jack Russsell
11.83013917,Jack Russsell
15.45779147,Jack Russsell
15.98345882,Jack Russsell
11.83561488,Jack Russsell
2.622746977,Jack Russsell
17.85341091,Jack Russsell
0.169746749,Jack Russsell
0.364020078,Jack Russsell
10.34074835,Jack Russsell
13.99863107,Jack Russsell
17.99863107,Jack Russsell
5.631759069,Jack Russsell
13.99863107,Jack Russsell
