Age of Death,Type
11.09365731,Labrador X Springer Spaniel
9.760323979,Labrador X Springer Spaniel
8.161419119,Labrador X Springer Spaniel
11.22518823,Labrador X Springer Spaniel
11.81644992,Labrador X Springer Spaniel
13.17168606,Labrador X Springer Spaniel
13.53867214,Labrador X Springer Spaniel
15.22507415,Labrador X Springer Spaniel
12.6186402,Labrador X Springer Spaniel
11.40588638,Labrador X Springer Spaniel
13.35249829,Labrador X Springer Spaniel
10.9705681,Labrador X Springer Spaniel
11.09924709,Labrador X Springer Spaniel
6.338010495,Labrador X Springer Spaniel
12.99372576,Labrador X Springer Spaniel
13.18263746,Labrador X Springer Spaniel
11.97250742,Labrador X Springer Spaniel
13.73568332,Labrador X Springer Spaniel
9.968400639,Labrador X Springer Spaniel
12.85683322,Labrador X Springer Spaniel
12.00262377,Labrador X Springer Spaniel
13.11692904,Labrador X Springer Spaniel
11.34565366,Labrador X Springer Spaniel
6.176477299,Labrador X Springer Spaniel
