Age of Death,Type
11.86858316,Labrador X
14.13814739,Labrador X
14.19450285,Labrador X
17.08418891,Labrador X
13.44558522,Labrador X
1.957449236,Labrador X
2.001254848,Labrador X
3.008898015,Labrador X
3.444102213,Labrador X
5.472849646,Labrador X
6.603582021,Labrador X
10.00125485,Labrador X
12.00273785,Labrador X
13.85341091,Labrador X
16.11225188,Labrador X
10.04517454,Labrador X
13.18548939,Labrador X
8.355806525,Labrador X
6.420260096,Labrador X
13.17180014,Labrador X
13.89995437,Labrador X
14.56251426,Labrador X
15.8409765,Labrador X
15.98345882,Labrador X
11.18948209,Labrador X
11.11008442,Labrador X
13.08407483,Labrador X
15.17579284,Labrador X
15.66586813,Labrador X
15.98345882,Labrador X
16.0,Labrador X
16.33675565,Labrador X
13.53045859,Labrador X
6.231348392,Labrador X
14.28599133,Labrador X
15.26078029,Labrador X
14.61179557,Labrador X
11.03709347,Labrador X
13.02931782,Labrador X
2.73773671,Labrador X
5.385352498,Labrador X
11.37839379,Labrador X
11.44695414,Labrador X
12.15046772,Labrador X
12.47638604,Labrador X
13.11156742,Labrador X
14.21206936,Labrador X
14.99794661,Labrador X
5.089550536,Labrador X
9.453684691,Labrador X
10.56525211,Labrador X
10.56798996,Labrador X
11.01152179,Labrador X
11.06901666,Labrador X
11.69324663,Labrador X
12.34770705,Labrador X
13.13620808,Labrador X
13.18822724,Labrador X
13.2019165,Labrador X
13.41809263,Labrador X
13.69735341,Labrador X
13.74389687,Labrador X
13.97113849,Labrador X
14.05338809,Labrador X
14.05601186,Labrador X
14.10803103,Labrador X
14.64464978,Labrador X
14.82261008,Labrador X
15.00068446,Labrador X
15.17316906,Labrador X
15.59753593,Labrador X
15.70157426,Labrador X
15.70693589,Labrador X
15.77823409,Labrador X
15.99988592,Labrador X
16.49281314,Labrador X
16.59673739,Labrador X
17.00193931,Labrador X
17.00205339,Labrador X
17.68366416,Labrador X
18.13278576,Labrador X
19.00604609,Labrador X
18.11362081,Labrador X
9.70294319,Labrador X
17.34976044,Labrador X
13.25108373,Labrador X
14.13552361,Labrador X
14.69952088,Labrador X
15.92596395,Labrador X
8.777549624,Labrador X
10.1655259,Labrador X
11.70146019,Labrador X
13.02657997,Labrador X
13.45379877,Labrador X
13.80424367,Labrador X
4.265571526,Labrador X
5.379876797,Labrador X
6.603696099,Labrador X
7.279831166,Labrador X
7.931439653,Labrador X
9.03479352,Labrador X
9.423682409,Labrador X
10.11088296,Labrador X
10.18469085,Labrador X
10.71047228,Labrador X
11.1156742,Labrador X
11.11829797,Labrador X
11.37291809,Labrador X
11.89596167,Labrador X
12.25450605,Labrador X
12.29568789,Labrador X
12.59399954,Labrador X
12.60780287,Labrador X
12.85683322,Labrador X
12.88158795,Labrador X
13.30047912,Labrador X
13.33321926,Labrador X
13.4865389,Labrador X
13.55224732,Labrador X
13.57962583,Labrador X
13.71389459,Labrador X
13.74948665,Labrador X
13.82888433,Labrador X
13.89721652,Labrador X
14.11624458,Labrador X
14.11635866,Labrador X
14.15195072,Labrador X
14.23671002,Labrador X
