Age of Death,Type
11.21959845,Labrador
11.69872234,Labrador
13.42368241,Labrador
5.108715492,Labrador
9.081336984,Labrador
9.264772987,Labrador
9.327857632,Labrador
9.467488022,Labrador
9.672826831,Labrador
10.75416381,Labrador
11.11008442,Labrador
11.44695414,Labrador
11.52897559,Labrador
11.58932238,Labrador
12.02452658,Labrador
12.93896874,Labrador
14.46942733,Labrador
15.65776865,Labrador
8.65149441,Labrador
12.30378736,Labrador
12.4297285,Labrador
12.9800365,Labrador
10.81451061,Labrador
8.084873374,Labrador
8.459958932,Labrador
12.88980151,Labrador
15.71788729,Labrador
16.00262377,Labrador
4.002623774,Labrador
1.552361396,Labrador
1.667237052,Labrador
1.735797399,Labrador
2.233972165,Labrador
2.658339037,Labrador
3.923226101,Labrador
5.45094684,Labrador
10.39276751,Labrador
10.50239562,Labrador
10.73499886,Labrador
11.24150125,Labrador
11.27435546,Labrador
11.31542323,Labrador
11.411248,Labrador
11.70146019,Labrador
12.59411362,Labrador
12.63232945,Labrador
9.272986539,Labrador
10.21754506,Labrador
10.33527264,Labrador
11.2223363,Labrador
11.29089665,Labrador
11.71526352,Labrador
11.78370979,Labrador
11.78633356,Labrador
12.22986539,Labrador
13.97125257,Labrador
14.20659366,Labrador
14.66666667,Labrador
9.560574949,Labrador
11.83835273,Labrador
11.16769336,Labrador
12.67065937,Labrador
13.25382158,Labrador
13.26477299,Labrador
13.88078941,Labrador
14.0039927,Labrador
12.38592288,Labrador
14.55977641,Labrador
10.03696099,Labrador
5.80971937,Labrador
10.60358202,Labrador
11.34280173,Labrador
11.80835044,Labrador
12.43805613,Labrador
11.20864705,Labrador
10.97045403,Labrador
11.75347935,Labrador
13.12799452,Labrador
13.68092631,Labrador
9.396303901,Labrador
4.936230892,Labrador
10.4421629,Labrador
12.32842802,Labrador
14.22587269,Labrador
14.49133014,Labrador
15.49897331,Labrador
9.538558065,Labrador
12.66529774,Labrador
11.08270591,Labrador
13.18537531,Labrador
8.401316291,Labrador
8.44341775,Labrador
12.16689482,Labrador
6.244923568,Labrador
8.175108373,Labrador
8.383185033,Labrador
9.697353411,Labrador
10.45300023,Labrador
10.46132786,Labrador
11.8384668,Labrador
12.83778234,Labrador
13.36059776,Labrador
13.67282683,Labrador
14.32717317,Labrador
15.05258955,Labrador
3.142938627,Labrador
7.603011636,Labrador
8.03559206,Labrador
9.631759069,Labrador
9.894592745,Labrador
11.63586585,Labrador
11.64134155,Labrador
11.85489391,Labrador
12.00524755,Labrador
12.3504449,Labrador
12.61054073,Labrador
12.91432809,Labrador
12.99110198,Labrador
13.00193931,Labrador
13.74389687,Labrador
13.95482546,Labrador
14.13826146,Labrador
14.21754506,Labrador
14.83367556,Labrador
15.15662788,Labrador
0.027264431,Labrador
12.01083733,Labrador
10.61190965,Labrador
12.58863792,Labrador
1.431895962,Labrador
4.391398585,Labrador
5.000938538,Labrador
8.290212183,Labrador
8.446155601,Labrador
8.648870637,Labrador
