Age of Death,Type
6.250513347,Lakeland Terrier
8.52019165,Lakeland Terrier
15.19221994,Lakeland Terrier
10.14373717,Lakeland Terrier
10.21480721,Lakeland Terrier
15.10198494,Lakeland Terrier
16.99372576,Lakeland Terrier
0.498174766,Lakeland Terrier
14.50775724,Lakeland Terrier
15.30732375,Lakeland Terrier
13.67830253,Lakeland Terrier
15.54540269,Lakeland Terrier
16.12320329,Lakeland Terrier
16.54471823,Lakeland Terrier
15.5618298,Lakeland Terrier
8.172370522,Lakeland Terrier
15.86858316,Lakeland Terrier
16.18605978,Lakeland Terrier
13.68913986,Lakeland Terrier
15.89037189,Lakeland Terrier
14.22849646,Lakeland Terrier
15.44957791,Lakeland Terrier
11.40314853,Lakeland Terrier
13.00193931,Lakeland Terrier
15.9945243,Lakeland Terrier
14.05327401,Lakeland Terrier
13.42094456,Lakeland Terrier
5.998631075,Lakeland Terrier
