Age of Death,Type
10.88010495,Lhasa Apso X
1.442847365,Lhasa Apso X
13.36618754,Lhasa Apso X
13.58510153,Lhasa Apso X
4.273671002,Lhasa Apso X
9.001939311,Lhasa Apso X
5.784964636,Lhasa Apso X
0.698151951,Lhasa Apso X
13.97113849,Lhasa Apso X
13.80424367,Lhasa Apso X
10.08065252,Lhasa Apso X
14.98973306,Lhasa Apso X
15.18674424,Lhasa Apso X
9.738421173,Lhasa Apso X
2.242185718,Lhasa Apso X
6.592744695,Lhasa Apso X
13.53582021,Lhasa Apso X
11.94239106,Lhasa Apso X
12.52829112,Lhasa Apso X
13.10871549,Lhasa Apso X
