Age of Death,Type
10.49954369,Lhasa Apso
16.21343828,Lhasa Apso
2.245037645,Lhasa Apso
13.78222679,Lhasa Apso
15.68240931,Lhasa Apso
16.41615332,Lhasa Apso
1.253821583,Lhasa Apso
4.235341091,Lhasa Apso
5.037531371,Lhasa Apso
5.420716404,Lhasa Apso
5.894478668,Lhasa Apso
8.002737851,Lhasa Apso
11.20317134,Lhasa Apso
11.54004107,Lhasa Apso
12.47353411,Lhasa Apso
2.411932466,Lhasa Apso
11.49338353,Lhasa Apso
11.63848962,Lhasa Apso
12.24081679,Lhasa Apso
13.2208533,Lhasa Apso
16.33937942,Lhasa Apso
16.53924253,Lhasa Apso
17.12525667,Lhasa Apso
15.77538216,Lhasa Apso
15.19507187,Lhasa Apso
10.78975587,Lhasa Apso
15.99988592,Lhasa Apso
14.12731006,Lhasa Apso
15.93155373,Lhasa Apso
16.99372576,Lhasa Apso
7.879534565,Lhasa Apso
15.88489619,Lhasa Apso
12.72279261,Lhasa Apso
9.631644992,Lhasa Apso
13.00467716,Lhasa Apso
13.52213096,Lhasa Apso
14.6939311,Lhasa Apso
5.188227242,Lhasa Apso
11.07723021,Lhasa Apso
13.62616929,Lhasa Apso
14.63381246,Lhasa Apso
15.87953457,Lhasa Apso
13.94934976,Lhasa Apso
0.019164956,Lhasa Apso
8.295573808,Lhasa Apso
8.804928131,Lhasa Apso
9.001939311,Lhasa Apso
12.41330139,Lhasa Apso
13.0513347,Lhasa Apso
13.84519735,Lhasa Apso
14.58726899,Lhasa Apso
15.02521104,Lhasa Apso
15.06639288,Lhasa Apso
15.27173169,Lhasa Apso
16.01631303,Lhasa Apso
16.0847593,Lhasa Apso
16.10130048,Lhasa Apso
16.52019165,Lhasa Apso
17.84508328,Lhasa Apso
14.31622177,Lhasa Apso
16.35580653,Lhasa Apso
14.58167922,Lhasa Apso
11.27994524,Lhasa Apso
12.98825006,Lhasa Apso
13.73294547,Lhasa Apso
13.94375998,Lhasa Apso
14.0094684,Lhasa Apso
16.00273785,Lhasa Apso
16.57209674,Lhasa Apso
17.12240475,Lhasa Apso
17.70294319,Lhasa Apso
17.7357974,Lhasa Apso
13.52224504,Lhasa Apso
3.769906457,Lhasa Apso
11.82740132,Lhasa Apso
11.88215834,Lhasa Apso
18.31622177,Lhasa Apso
12.57483459,Lhasa Apso
3.173169062,Lhasa Apso
4.240816792,Lhasa Apso
6.001254848,Lhasa Apso
6.151836642,Lhasa Apso
7.622176591,Lhasa Apso
8.292950034,Lhasa Apso
8.605065024,Lhasa Apso
8.917180014,Lhasa Apso
10.29979466,Lhasa Apso
11.66586813,Lhasa Apso
11.95893224,Lhasa Apso
12.1066621,Lhasa Apso
12.5174538,Lhasa Apso
12.52007757,Lhasa Apso
12.53102898,Lhasa Apso
